year,region,county,town,Akce za zruš.Senátu a proti t.,,ods,ksčm,Str.venkova-spoj.občan.síly,Balbínova poetická strana,Republikáni,Republikáni Miroslava Sládka,Nové hnutí,České sociálně demokrat.hnutí,Humanistická aliance,Cesta změny,Strana zdravého rozumu,Česká strana národně sociální,Česká pravice,Volba pro budoucnost,sz,Strana za životní jistoty,"Koalice KDU-ČSL, US-DEU",Naděje,Národně demokratická strana,Moravská demokratická strana,Občanská demokratická aliance,čssd,Sdružení nezávislých,Demokratická liga,Pravý Blok,Strana demokrat.socialismu,Romská občanská iniciativa ČR,voters,votes_ok,votes_all
2002,Vysočina,Žďár nad Sázavou,Fryšava p.Žákovou h.,0,0,42,37,4,,0,2,,,0,0,0,0,0,1,3,0,39,1,0,0,0,52,10,0,0,,,280,191,191
2002,Vysočina,Žďár nad Sázavou,Rovečné,0,0,69,45,10,,0,1,,,0,0,1,0,0,6,7,3,33,4,1,0,0,115,14,0,1,,,524,310,314
2002,Vysočina,Žďár nad Sázavou,Hamry nad Sázavou,1,0,154,104,6,,2,5,,,0,2,1,1,0,2,8,1,47,5,0,0,1,246,37,0,0,,,943,623,623
2002,Vysočina,Žďár nad Sázavou,Rozseč,0,0,4,15,6,,0,0,,,0,0,0,0,0,0,1,0,10,0,0,0,0,17,0,0,0,,,76,53,53
2002,Vysočina,Žďár nad Sázavou,Herálec,0,0,116,133,10,,0,6,,,0,0,0,1,0,2,9,1,150,1,0,0,0,209,15,2,6,,,944,661,664
2002,Vysočina,Žďár nad Sázavou,Rozsochy,0,0,44,53,9,,1,4,,,0,0,3,0,0,2,3,1,88,0,0,0,0,148,27,0,0,,,544,383,384
2002,Vysočina,Žďár nad Sázavou,Heřmanov,0,0,21,15,1,,0,0,,,0,0,0,0,0,0,0,0,32,0,1,0,2,43,3,0,0,,,162,118,118
2002,Vysočina,Žďár nad Sázavou,Rožná,2,0,41,60,30,,0,4,,,2,0,2,0,0,2,4,2,51,4,1,0,1,170,17,0,4,,,565,397,401
2002,Vysočina,Žďár nad Sázavou,Hodíškov,0,0,12,13,13,,0,0,,,0,0,0,1,0,0,0,0,14,0,0,1,0,17,4,0,3,,,111,78,79
2002,Vysočina,Žďár nad Sázavou,Ruda,0,0,9,25,7,,0,0,,,0,1,2,0,0,1,1,0,55,1,0,0,0,35,1,0,0,,,263,138,138
