year,region,county,town,Aktiv nezávislých občanů,kdúčsl,LEV 21-Národní socialisté,ods,ksčm,HLAVU VZHŮRU - volební blok,Suver.-Strana zdravého rozumu,Strana soukromníků ČR,top_09,Dělnic.str.sociální spravedl.,politické hnutí Změna,ano,Strana svobodných občanů,Koruna Česká (monarch.strana),-,Klub angažovaných nestraníků,sz,Strana Práv Občanů ZEMANOVCI,Úsvit přímé demokr.T.Okamury,Volte Pr.Blok www.cibulka.net,Romská demokratická strana,Česká pirátská strana,OBČANÉ 2011,čssd,voters,votes_ok,votes_all
2013,Hlavní město Praha,Praha,Praha 1,6,1067,5,2011,692,68,11,15,4260,34,104,1671,526,42,0,,1268,107,327,25,,553,9,1410,22611,14211,14289
2013,Hlavní město Praha,Praha,Praha 10,12,2671,31,6318,4466,269,60,63,11747,221,363,8364,1841,92,0,,3326,541,1653,114,,1690,35,7955,82317,51832,52209
2013,Hlavní město Praha,Praha,Praha 11,7,1916,26,3951,4174,161,72,40,7371,175,310,7720,1338,77,0,,2038,381,1399,94,,1499,37,6401,60107,39187,39460
2013,Hlavní město Praha,Praha,Praha 12,11,1405,21,2673,2963,116,63,28,5572,132,233,4944,984,52,0,,1399,257,1037,59,,986,27,4282,42642,27244,27466
2013,Hlavní město Praha,Praha,Praha 13,7,1466,14,2908,2232,102,37,44,5930,108,220,4654,1194,69,0,,1743,238,994,44,,1206,25,3599,42292,26834,27029
2013,Hlavní město Praha,Praha,Praha 14,7,917,15,1897,1718,79,22,24,3893,124,142,3507,689,43,0,,950,196,801,38,,701,16,2825,31865,18604,18722
2013,Hlavní město Praha,Praha,Praha 15,12,660,8,1642,1273,62,25,18,3113,79,109,3026,583,24,0,,814,132,504,33,,527,18,2177,23209,14839,14919
2013,Hlavní město Praha,Praha,Praha 16,1,175,2,933,315,18,8,8,799,15,30,653,126,7,0,,182,29,140,7,,183,4,541,6080,4176,4225
2013,Hlavní město Praha,Praha,Praha 17,5,576,10,1114,1294,55,14,12,2172,63,84,2116,496,18,0,,641,127,380,19,,455,6,1891,18781,11548,11593
2013,Hlavní město Praha,Praha,Praha 18,4,320,10,745,745,25,18,6,1454,51,59,1479,292,16,0,,369,83,327,22,,277,8,1274,12003,7584,7634
2013,Hlavní město Praha,Praha,Praha 19,1,155,2,465,316,14,9,7,695,12,22,543,100,9,0,,190,27,117,6,,139,2,505,4712,3336,3354
2013,Hlavní město Praha,Praha,Praha 2,2,1290,7,2843,1188,86,23,29,5295,71,152,2799,854,64,0,,1738,145,524,56,,839,15,2431,34030,20451,20619
2013,Hlavní město Praha,Praha,Praha 20,8,398,7,797,941,42,14,11,1435,33,59,1361,260,16,0,,337,80,292,19,,238,10,1074,11227,7432,7488
2013,Hlavní město Praha,Praha,Praha 21,2,255,5,761,422,25,16,34,1250,14,32,898,178,15,0,,205,43,171,6,,172,6,664,7499,5174,5210
2013,Hlavní město Praha,Praha,Praha 22,1,217,1,519,254,16,7,3,999,13,33,965,183,2,0,,213,33,135,6,,160,4,528,6440,4292,4319
2013,Hlavní město Praha,Praha,Praha 3,8,1637,27,3774,2584,112,30,40,7536,156,230,4450,1163,90,0,,2569,274,945,67,,1230,19,4287,52802,31228,31448
2013,Hlavní město Praha,Praha,Praha 4,19,3617,48,7949,5082,344,72,71,14689,258,484,10154,2293,130,0,,3965,586,1924,133,,2233,39,9594,99234,63684,64153
2013,Hlavní město Praha,Praha,Praha 5,19,2206,23,4545,2451,228,33,32,9601,155,287,5403,1563,65,0,,2651,320,1004,84,,1379,28,4484,58450,36561,36835
2013,Hlavní město Praha,Praha,Praha 6,20,3273,22,6358,4268,157,42,45,13175,136,369,6528,1772,123,0,,4185,419,1233,84,,1689,21,6542,73443,50461,50812
2013,Hlavní město Praha,Praha,Praha 7,5,1181,14,2401,1165,103,17,16,4766,90,138,2420,802,44,0,,1850,147,463,40,,821,7,2320,32766,18810,18927
2013,Hlavní město Praha,Praha,Praha 8,11,2640,26,5625,5325,183,78,55,10138,202,387,7965,1678,88,0,,2909,496,1735,88,,1690,42,7726,79121,49087,49430
2013,Hlavní město Praha,Praha,Praha 9,7,1075,18,2814,2005,103,34,38,4920,118,193,4213,839,38,0,,1264,259,690,66,,770,14,3663,37457,23141,23335
2013,Hlavní město Praha,Praha,Praha-Běchovice,0,48,0,149,65,1,1,5,234,6,12,200,30,3,0,,40,11,41,4,,35,0,145,1533,1030,1041
2013,Hlavní město Praha,Praha,Praha-Benice,0,13,0,32,22,2,0,0,84,1,1,70,15,1,0,,19,4,14,0,,8,0,30,449,316,317
2013,Hlavní město Praha,Praha,Praha-Březiněves,0,18,1,78,60,1,2,0,148,1,4,142,27,0,0,,22,15,22,0,,15,2,89,860,647,653
2013,Hlavní město Praha,Praha,Praha-Čakovice,1,246,2,514,385,21,4,9,973,16,25,892,166,3,0,,203,50,141,11,,146,3,598,6555,4409,4434
2013,Hlavní město Praha,Praha,Praha-Ďáblice,1,59,0,203,151,6,4,6,444,7,9,280,72,3,0,,93,21,47,5,,59,0,208,2450,1678,1694
2013,Hlavní město Praha,Praha,Praha-Dolní Chabry,2,85,1,286,109,5,5,2,533,6,10,368,61,1,0,,91,10,42,4,,53,4,177,2702,1855,1870
2013,Hlavní město Praha,Praha,Praha-Dolní Měcholupy,1,50,1,150,64,2,2,4,285,6,6,248,27,1,0,,58,3,18,1,,39,2,98,1463,1066,1074
2013,Hlavní město Praha,Praha,Praha-Dolní Počernice,0,72,1,177,82,2,3,0,312,5,5,205,56,6,0,,55,15,75,1,,41,1,139,1714,1253,1262
2013,Hlavní město Praha,Praha,Praha-Dubeč,3,85,0,204,174,3,3,4,419,8,13,356,79,5,0,,74,28,67,2,,62,2,230,2608,1821,1835
2013,Hlavní město Praha,Praha,Praha-Klánovice,0,80,5,295,108,6,1,2,455,5,4,303,76,2,0,,105,15,55,2,,70,3,163,2558,1755,1765
2013,Hlavní město Praha,Praha,Praha-Koloděje,0,35,0,114,54,4,0,2,181,3,4,142,32,0,0,,28,5,30,2,,16,0,76,1004,728,731
2013,Hlavní město Praha,Praha,Praha-Kolovraty,1,80,0,214,108,9,3,6,471,3,12,374,78,3,0,,98,11,49,1,,60,2,194,2410,1777,1783
2013,Hlavní město Praha,Praha,Praha-Královice,0,13,1,24,22,1,0,0,29,1,1,28,6,0,0,,0,1,4,0,,10,0,30,241,171,171
2013,Hlavní město Praha,Praha,Praha-Křeslice,1,17,0,62,23,2,1,0,142,1,1,108,20,0,0,,22,3,23,1,,22,1,39,656,489,492
2013,Hlavní město Praha,Praha,Praha-Kunratice,2,213,1,515,246,22,12,5,1040,9,28,650,150,8,0,,207,44,127,5,,101,1,418,5331,3804,3830
2013,Hlavní město Praha,Praha,Praha-Libuš,1,207,4,482,367,10,9,15,1046,27,21,841,166,8,0,,213,35,186,11,,161,10,512,6722,4332,4360
2013,Hlavní město Praha,Praha,Praha-Lipence,1,39,0,237,85,6,2,3,357,8,5,262,53,3,0,,54,12,59,3,,41,1,116,1836,1347,1359
2013,Hlavní město Praha,Praha,Praha-Lochkov,0,18,1,49,32,1,1,0,72,2,4,74,19,0,0,,13,3,12,3,,7,0,47,512,358,359
2013,Hlavní město Praha,Praha,Praha-Lysolaje,1,53,1,56,26,1,0,0,191,2,6,92,16,3,0,,54,8,17,1,,13,0,65,860,606,609
2013,Hlavní město Praha,Praha,Praha-Nebušice,0,43,1,160,114,2,0,3,267,4,1,207,27,0,0,,76,4,34,4,,41,2,140,1721,1130,1144
2013,Hlavní město Praha,Praha,Praha-Nedvězí,0,5,0,13,12,0,0,3,45,4,0,37,8,0,0,,8,2,9,1,,2,0,11,241,160,161
2013,Hlavní město Praha,Praha,Praha-Petrovice,2,154,6,295,273,11,7,4,672,15,23,581,126,3,0,,186,18,103,6,,148,6,381,4816,3020,3050
2013,Hlavní město Praha,Praha,Praha-Přední Kopanina,0,20,0,36,17,0,0,0,68,0,1,79,11,0,0,,15,1,12,1,,12,0,26,409,299,301
2013,Hlavní město Praha,Praha,Praha-Řeporyje,1,96,1,275,89,6,2,2,422,10,15,370,65,1,0,,90,16,79,5,,48,3,184,2720,1780,1793
2013,Hlavní město Praha,Praha,Praha-Satalice,0,76,0,150,72,3,6,2,271,4,6,184,50,3,0,,63,7,44,4,,39,4,152,1592,1140,1150
2013,Hlavní město Praha,Praha,Praha-Slivenec,0,91,2,216,74,9,6,2,450,7,12,294,65,0,0,,71,19,55,3,,56,2,129,2390,1563,1575
2013,Hlavní město Praha,Praha,Praha-Suchdol,1,195,0,342,230,6,3,3,836,9,13,600,128,8,0,,290,31,79,9,,103,2,398,4762,3286,3316
2013,Hlavní město Praha,Praha,Praha-Šeberov,0,67,1,208,113,10,2,4,421,4,8,312,53,2,0,,64,4,43,1,,44,0,123,2072,1484,1491
2013,Hlavní město Praha,Praha,Praha-Štěrboholy,1,43,0,123,54,6,0,2,238,2,9,169,39,1,0,,40,5,38,0,,22,1,84,1191,877,880
2013,Hlavní město Praha,Praha,Praha-Troja,1,44,0,84,23,2,0,0,204,1,4,87,18,1,0,,44,6,15,0,,13,1,51,819,599,602
2013,Hlavní město Praha,Praha,Praha-Újezd,0,71,1,172,90,6,1,1,379,5,10,303,60,3,0,,66,14,50,2,,43,0,115,1936,1392,1399
2013,Hlavní město Praha,Praha,Praha-Velká Chuchle,0,43,3,169,70,10,2,2,358,2,13,184,40,0,0,,70,10,47,1,,42,0,145,1661,1211,1220
2013,Hlavní město Praha,Praha,Praha-Vinoř,0,156,0,268,137,9,2,1,356,6,23,370,56,1,0,,117,22,70,2,,69,0,257,2815,1922,1937
2013,Hlavní město Praha,Praha,Praha-Zbraslav,0,277,0,680,360,29,5,5,1313,12,35,834,168,7,0,,326,40,167,14,,160,8,593,7408,5033,5063
2013,Hlavní město Praha,Praha,Praha-Zličín,0,122,0,303,191,9,4,2,574,11,17,485,98,1,0,,107,14,89,5,,89,2,332,3714,2455,2470
2013,Středočeský kraj,Benešov,Benešov,5,415,5,705,1081,22,24,29,1138,43,58,1542,208,25,,,317,65,601,,8,217,,1666,13237,8174,8236
2013,Středočeský kraj,Benešov,Bernartice,0,44,0,7,17,2,1,0,7,0,0,15,0,0,,,0,0,8,,0,5,,34,183,140,142
2013,Středočeský kraj,Benešov,Bílkovice,0,10,0,5,36,0,1,0,4,3,0,15,2,0,,,0,2,7,,0,1,,31,172,117,117
2013,Středočeský kraj,Benešov,Blažejovice,0,14,0,6,23,0,0,0,9,1,0,8,0,0,,,1,4,0,,0,4,,15,102,85,86
2013,Středočeský kraj,Benešov,Borovnice,0,5,0,8,3,0,0,0,2,0,0,14,0,0,,,1,1,3,,0,5,,7,75,49,49
2013,Středočeský kraj,Benešov,Bukovany,0,10,0,19,37,1,1,1,50,6,1,77,11,0,,,10,8,23,,0,6,,70,597,331,332
2013,Středočeský kraj,Benešov,Bystřice,0,109,0,172,275,11,7,5,195,20,17,570,42,9,,,51,18,178,,0,56,,448,3505,2183,2206
2013,Středočeský kraj,Benešov,Ctiboř,0,13,0,0,5,3,0,0,8,0,0,20,1,0,,,1,0,6,,0,1,,10,100,68,69
2013,Středočeský kraj,Benešov,Čakov,0,7,0,7,7,0,0,0,15,0,0,10,2,0,,,1,0,5,,0,3,,10,99,67,68
2013,Středočeský kraj,Benešov,Čechtice,0,92,1,54,105,4,4,3,76,7,4,108,20,2,,,12,7,36,,0,21,,159,1160,715,726
2013,Středočeský kraj,Benešov,Čerčany,1,78,1,147,186,6,5,5,232,3,4,284,51,6,,,64,8,75,,0,39,,233,2200,1428,1443
2013,Středočeský kraj,Benešov,Červený Újezd,0,32,1,29,23,1,2,0,11,1,1,30,8,0,,,4,1,10,,0,4,,23,254,181,184
2013,Středočeský kraj,Benešov,Český Šternberk,0,4,0,9,11,0,0,0,18,1,0,13,1,1,,,1,2,11,,0,0,,22,138,94,95
2013,Středočeský kraj,Benešov,Čtyřkoly,0,14,0,26,23,1,0,0,76,1,3,96,19,1,,,16,4,20,,0,9,,30,467,339,340
2013,Středočeský kraj,Benešov,Děkanovice,0,12,0,0,2,0,0,0,0,0,0,6,0,0,,,0,0,6,,0,0,,7,53,33,33
2013,Středočeský kraj,Benešov,Divišov,0,60,0,56,137,4,10,1,87,5,2,155,18,4,,,28,10,72,,0,17,,139,1264,805,808
2013,Středočeský kraj,Benešov,Dolní Kralovice,0,33,0,16,99,3,3,4,31,2,1,87,10,0,,,15,4,32,,0,8,,124,750,472,474
2013,Středočeský kraj,Benešov,Drahňovice,0,2,0,5,6,0,0,0,12,0,0,11,2,0,,,4,0,3,,0,0,,5,63,50,50
2013,Středočeský kraj,Benešov,Dunice,0,8,0,6,6,0,0,0,2,0,0,2,0,0,,,1,0,3,,0,1,,15,63,44,44
2013,Středočeský kraj,Benešov,Heřmaničky,0,22,1,26,82,0,1,2,31,2,1,84,15,3,,,9,10,20,,0,4,,61,580,374,377
2013,Středočeský kraj,Benešov,Hradiště,0,3,0,4,3,0,2,0,0,0,1,3,0,0,,,0,1,0,,0,1,,1,28,19,19
2013,Středočeský kraj,Benešov,Hulice,0,5,0,13,38,0,0,1,13,1,0,50,5,0,,,2,1,13,,0,7,,26,249,175,177
2013,Středočeský kraj,Benešov,Hvězdonice,1,3,0,13,15,2,1,1,25,4,1,41,2,1,,,2,2,13,,0,9,,32,258,168,168
2013,Středočeský kraj,Benešov,Chářovice,0,2,0,9,28,1,0,0,5,2,2,20,7,0,,,2,0,8,,0,3,,21,145,110,111
2013,Středočeský kraj,Benešov,Chleby,0,2,0,2,2,0,0,0,3,0,0,15,0,0,,,0,1,1,,0,2,,5,50,33,34
2013,Středočeský kraj,Benešov,Chlístov,1,5,1,22,16,0,1,0,33,3,0,36,2,0,,,1,1,13,,0,4,,27,255,166,166
2013,Středočeský kraj,Benešov,Chlum,0,11,1,5,16,1,0,0,2,3,1,25,2,0,,,1,1,1,,1,0,,26,119,97,97
2013,Středočeský kraj,Benešov,Chmelná,0,31,0,5,3,1,0,0,5,0,0,14,1,0,,,1,0,8,,0,1,,9,104,79,79
2013,Středočeský kraj,Benešov,Chocerady,0,16,0,48,95,6,1,1,85,3,3,135,18,1,,,18,6,28,,0,29,,103,982,596,601
2013,Středočeský kraj,Benešov,Choratice,0,6,0,3,5,2,0,0,6,0,0,7,1,0,,,1,0,5,,0,0,,4,61,40,40
2013,Středočeský kraj,Benešov,Chotýšany,1,12,0,19,34,4,2,2,37,3,1,62,6,0,,,6,3,26,,0,6,,49,415,273,276
2013,Středočeský kraj,Benešov,Chrášťany,0,14,0,6,22,2,0,0,16,0,0,27,0,0,,,4,0,11,,0,2,,9,174,113,114
2013,Středočeský kraj,Benešov,Jankov,0,32,1,24,73,2,1,3,30,1,0,88,6,1,,,10,6,26,,0,14,,94,696,412,414
2013,Středočeský kraj,Benešov,Javorník,0,8,0,6,7,0,0,0,4,2,1,11,2,0,,,4,0,10,,0,4,,25,113,84,84
2013,Středočeský kraj,Benešov,Ješetice,0,7,0,1,12,1,0,0,3,0,0,12,6,0,,,1,1,11,,0,0,,16,106,71,72
2013,Středočeský kraj,Benešov,Kamberk,0,5,0,10,4,0,0,0,13,0,0,16,2,1,,,1,0,5,,0,0,,19,123,76,76
2013,Středočeský kraj,Benešov,Keblov,0,6,0,8,26,0,1,0,8,0,0,17,3,0,,,0,2,5,,0,1,,30,158,107,108
2013,Středočeský kraj,Benešov,Kladruby,0,26,0,10,29,0,2,1,29,0,0,31,6,0,,,7,4,8,,0,3,,32,254,188,189
2013,Středočeský kraj,Benešov,Kondrac,1,31,0,15,40,1,1,4,18,0,0,35,6,0,,,6,4,13,,0,4,,48,370,227,230
2013,Středočeský kraj,Benešov,Kozmice,0,4,0,19,17,0,0,1,13,0,0,33,3,0,,,3,0,22,,1,1,,37,230,154,155
2013,Středočeský kraj,Benešov,Krhanice,0,20,0,47,60,1,2,6,76,6,1,84,6,0,,,14,2,40,,0,29,,81,726,475,480
2013,Středočeský kraj,Benešov,Krňany,0,7,1,17,42,1,0,0,34,2,1,57,1,0,,,3,6,8,,0,2,,30,351,212,216
2013,Středočeský kraj,Benešov,Křečovice,0,58,0,26,88,5,2,0,45,4,4,67,7,3,,,10,8,38,,0,13,,65,633,443,445
2013,Středočeský kraj,Benešov,Křivsoudov,0,25,1,15,24,0,0,0,9,2,0,48,7,1,,,6,1,18,,0,4,,40,350,201,204
2013,Středočeský kraj,Benešov,Kuňovice,0,14,0,3,0,0,0,1,7,0,0,19,0,0,,,1,0,1,,0,0,,5,61,51,52
2013,Středočeský kraj,Benešov,Lešany,0,14,0,24,64,0,0,1,38,1,1,76,8,0,,,17,1,23,,0,9,,50,552,327,328
2013,Středočeský kraj,Benešov,Libež,0,6,0,6,25,0,0,0,0,0,1,19,2,0,,,0,0,6,,0,1,,16,145,82,83
2013,Středočeský kraj,Benešov,Litichovice,0,6,0,0,11,1,0,0,7,0,0,2,0,0,,,0,0,6,,0,3,,8,58,44,45
2013,Středočeský kraj,Benešov,Loket,0,50,0,16,36,0,2,1,34,3,1,54,6,0,,,6,5,30,,0,6,,82,469,332,334
2013,Středočeský kraj,Benešov,Louňovice pod Blaníkem,1,17,0,26,66,3,5,0,37,5,2,74,7,0,,,9,4,25,,0,12,,81,570,374,378
2013,Středočeský kraj,Benešov,Lštění,0,18,0,23,39,4,1,0,49,0,4,38,7,0,,,8,2,22,,0,6,,35,351,256,258
2013,Středočeský kraj,Benešov,Maršovice,0,21,0,17,78,4,0,3,33,5,1,63,16,0,,,20,5,31,,0,10,,82,605,389,390
2013,Středočeský kraj,Benešov,Mezno,0,8,1,18,44,3,0,0,13,1,1,39,5,0,,,4,2,19,,0,2,,27,308,187,189
2013,Středočeský kraj,Benešov,Miličín,1,34,0,27,104,4,0,1,54,3,4,108,11,0,,,9,3,26,,0,12,,71,759,472,477
2013,Středočeský kraj,Benešov,Miřetice,0,11,0,9,8,1,0,0,7,0,0,33,1,0,,,1,2,6,,0,2,,9,122,90,92
2013,Středočeský kraj,Benešov,Mnichovice,1,11,0,7,26,0,0,0,2,0,1,25,0,1,,,3,1,6,,0,0,,21,159,105,108
2013,Středočeský kraj,Benešov,Mrač,1,23,0,27,58,2,1,4,46,0,1,108,19,2,,,12,3,17,,0,2,,81,632,407,414
2013,Středočeský kraj,Benešov,Načeradec,1,34,0,35,86,4,4,0,37,4,3,85,6,3,,,5,11,40,,0,8,,102,865,468,472
2013,Středočeský kraj,Benešov,Nespeky,0,12,0,49,31,1,1,4,79,1,1,67,3,4,,,12,6,21,,0,16,,60,522,368,370
2013,Středočeský kraj,Benešov,Netvořice,0,9,1,35,83,3,0,2,57,5,0,137,13,1,,,27,4,54,,0,16,,103,934,550,557
2013,Středočeský kraj,Benešov,Neustupov,1,15,0,8,44,2,1,0,19,8,0,43,4,2,,,10,5,18,,0,5,,63,442,248,249
2013,Středočeský kraj,Benešov,Neveklov,1,69,1,110,167,2,2,7,135,7,5,238,14,2,,,33,18,97,,0,40,,205,2069,1153,1167
2013,Středočeský kraj,Benešov,Olbramovice,1,23,0,30,106,0,0,0,49,5,6,186,16,0,,,7,4,42,,0,13,,129,961,617,621
2013,Středočeský kraj,Benešov,Ostrov,0,2,0,8,12,0,0,0,0,1,0,3,0,0,,,1,1,1,,0,0,,3,49,32,32
2013,Středočeský kraj,Benešov,Ostředek,0,12,0,15,19,2,4,0,26,0,1,51,5,0,,,5,1,22,,0,5,,22,278,190,192
2013,Středočeský kraj,Benešov,Pavlovice,1,7,0,7,12,1,1,1,8,2,0,19,4,0,,,3,2,5,,0,3,,31,163,107,107
2013,Středočeský kraj,Benešov,Petroupim,0,2,0,14,17,0,2,1,14,0,0,42,0,0,,,5,0,11,,0,4,,20,241,132,132
2013,Středočeský kraj,Benešov,Popovice,0,8,0,8,42,1,0,0,6,1,0,28,2,0,,,3,2,11,,0,6,,50,248,168,168
2013,Středočeský kraj,Benešov,Poříčí nad Sázavou,0,27,0,52,71,0,6,3,111,6,2,110,18,1,,,29,6,40,,0,8,,117,957,607,614
2013,Středočeský kraj,Benešov,Postupice,0,32,0,38,92,3,2,0,70,6,2,119,8,3,,,32,5,62,,0,15,,110,972,599,606
2013,Středočeský kraj,Benešov,Pravonín,0,19,1,19,54,0,1,0,32,1,1,57,7,0,,,4,4,15,,0,6,,63,450,284,285
2013,Středočeský kraj,Benešov,Přestavlky u Čerčan,0,10,0,15,12,0,2,0,38,0,2,48,7,0,,,2,1,7,,0,5,,23,281,172,176
2013,Středočeský kraj,Benešov,Psáře,0,11,0,7,5,0,2,0,3,0,0,16,1,0,,,2,1,4,,0,0,,21,113,73,73
2013,Středočeský kraj,Benešov,Pyšely,2,39,4,94,80,3,1,2,184,3,8,217,44,4,,,37,15,63,,0,22,,124,1342,946,950
2013,Středočeský kraj,Benešov,Rabyně,0,3,0,17,21,1,2,2,14,0,0,46,2,0,,,3,0,8,,1,0,,22,223,142,142
2013,Středočeský kraj,Benešov,Radošovice,0,34,0,6,27,2,3,3,23,0,1,27,7,0,,,1,0,16,,0,1,,25,275,176,177
2013,Středočeský kraj,Benešov,Rataje,0,14,0,12,16,0,3,0,6,0,0,16,0,0,,,1,1,2,,0,2,,15,145,88,89
2013,Středočeský kraj,Benešov,Ratměřice,0,12,0,14,26,1,0,0,21,3,0,10,2,0,,,4,1,9,,0,4,,34,207,141,141
2013,Středočeský kraj,Benešov,Řehenice,0,7,0,26,17,4,0,0,41,2,2,47,5,1,,,7,5,12,,0,6,,35,346,217,217
2013,Středočeský kraj,Benešov,Řimovice,0,6,0,2,18,0,2,0,5,2,0,18,3,0,,,2,2,14,,0,2,,12,173,88,89
2013,Středočeský kraj,Benešov,Sázava,1,51,1,114,286,10,6,3,217,10,12,436,36,0,,,42,20,113,,0,38,,438,3091,1834,1842
2013,Středočeský kraj,Benešov,Slověnice,0,4,0,3,7,1,0,0,0,0,0,1,0,1,,,0,0,0,,0,1,,9,33,27,28
2013,Středočeský kraj,Benešov,Smilkov,0,10,0,5,46,0,0,3,4,1,1,33,2,0,,,3,3,8,,0,4,,24,227,147,148
2013,Středočeský kraj,Benešov,Snět,0,10,0,7,2,0,0,1,2,0,1,5,1,0,,,0,1,6,,0,1,,15,88,52,53
2013,Středočeský kraj,Benešov,Soběhrdy,0,27,1,11,27,0,0,0,34,0,1,34,4,2,,,8,0,16,,0,5,,41,310,211,212
2013,Středočeský kraj,Benešov,Soutice,0,7,0,11,24,0,3,0,7,1,0,32,5,0,,,5,0,15,,0,5,,30,234,145,147
2013,Středočeský kraj,Benešov,Stranný,0,2,0,5,10,0,0,0,6,0,0,5,2,0,,,4,0,7,,0,4,,19,81,64,65
2013,Středočeský kraj,Benešov,Strojetice,0,4,0,0,21,0,0,0,5,0,0,21,1,0,,,0,0,4,,0,1,,16,109,73,73
2013,Středočeský kraj,Benešov,Struhařov,0,17,0,37,69,1,6,4,44,2,1,106,9,0,,,13,4,26,,0,8,,57,623,404,407
2013,Středočeský kraj,Benešov,Střezimíř,0,11,0,13,32,1,1,1,10,2,0,21,8,0,,,1,0,21,,0,8,,29,254,159,162
2013,Středočeský kraj,Benešov,Studený,0,5,0,12,17,0,0,0,3,0,0,9,1,0,,,1,1,0,,0,0,,12,88,61,62
2013,Středočeský kraj,Benešov,Šetějovice,0,3,0,2,2,0,0,0,2,1,0,17,0,0,,,0,3,0,,0,1,,9,53,40,40
2013,Středočeský kraj,Benešov,Tehov,0,5,0,6,30,2,0,0,18,0,0,29,4,2,,,4,1,4,,0,0,,33,247,138,138
2013,Středočeský kraj,Benešov,Teplýšovice,0,33,0,15,30,1,0,1,33,3,1,63,9,1,,,5,2,22,,0,9,,52,375,280,283
2013,Středočeský kraj,Benešov,Tichonice,0,7,0,8,26,0,0,0,12,1,0,21,5,0,,,3,1,17,,0,4,,54,186,159,160
2013,Středočeský kraj,Benešov,Tisem,0,4,0,10,16,1,1,0,6,0,1,25,2,1,,,2,0,11,,0,4,,43,180,127,128
2013,Středočeský kraj,Benešov,Tomice,0,9,0,4,14,1,0,0,1,1,0,20,3,0,,,2,2,0,,0,2,,12,112,71,71
2013,Středočeský kraj,Benešov,Trhový Štěpánov,1,71,0,43,98,2,2,1,63,4,0,100,20,3,,,15,11,43,,0,24,,101,1061,602,604
2013,Středočeský kraj,Benešov,Třebešice,0,0,0,3,7,0,0,0,9,0,0,17,3,1,,,1,0,9,,0,2,,3,70,55,56
2013,Středočeský kraj,Benešov,Týnec nad Sázavou,1,108,4,219,474,12,7,4,290,51,13,550,85,4,,,77,49,240,,0,66,,599,4511,2853,2871
2013,Středočeský kraj,Benešov,Václavice,0,13,0,23,39,0,1,0,28,3,1,57,8,1,,,8,1,22,,1,8,,58,432,272,274
2013,Středočeský kraj,Benešov,Veliš,0,24,0,9,21,0,0,3,18,0,0,46,2,0,,,2,5,17,,0,5,,35,277,187,188
2013,Středočeský kraj,Benešov,Vlašim,4,396,3,410,942,21,20,15,561,29,35,999,111,10,,,124,61,406,,1,110,,1287,9745,5545,5586
2013,Středočeský kraj,Benešov,Vodslivy,0,5,0,5,5,0,0,0,6,3,0,10,7,0,,,0,0,1,,0,1,,6,83,49,51
2013,Středočeský kraj,Benešov,Vojkov,2,13,1,14,49,2,5,2,27,4,2,54,2,0,,,10,3,20,,1,6,,47,437,264,264
2013,Středočeský kraj,Benešov,Votice,2,117,2,157,345,12,6,10,194,18,11,487,55,3,,,34,22,183,,0,66,,464,3714,2188,2204
2013,Středočeský kraj,Benešov,Vracovice,0,33,0,14,25,1,0,0,18,2,0,24,1,0,,,1,3,23,,0,5,,28,309,178,180
2013,Středočeský kraj,Benešov,Vranov,0,18,0,21,33,3,2,2,31,1,0,46,3,1,,,5,2,13,,0,2,,35,299,218,219
2013,Středočeský kraj,Benešov,Vrchotovy Janovice,0,21,1,25,80,2,3,2,38,5,6,74,3,2,,,16,6,34,,0,20,,117,767,455,457
2013,Středočeský kraj,Benešov,Všechlapy,0,1,0,9,9,0,0,0,13,1,0,9,1,0,,,1,3,0,,0,2,,6,81,55,55
2013,Středočeský kraj,Benešov,Vysoký Újezd,0,2,0,8,17,1,0,0,13,0,0,28,9,1,,,3,1,16,,0,2,,13,158,114,115
2013,Středočeský kraj,Benešov,Xaverov,0,1,0,0,5,0,0,0,6,1,0,2,1,0,,,0,0,0,,0,7,,7,46,30,30
2013,Středočeský kraj,Benešov,Zdislavice,0,24,0,9,51,1,2,0,23,0,0,65,8,0,,,8,1,15,,0,6,,74,454,287,289
2013,Středočeský kraj,Benešov,Zvěstov,0,14,0,11,23,0,1,1,23,0,1,39,11,2,,,7,9,12,,0,9,,35,322,198,200
2013,Středočeský kraj,Beroun,Bavoryně,0,1,0,6,15,1,0,0,27,1,0,24,4,0,,,2,1,8,,0,2,,14,198,106,106
2013,Středočeský kraj,Beroun,Beroun,4,348,4,765,1159,40,25,23,1440,40,48,1714,258,16,,,383,81,424,,2,302,,1635,14803,8711,8768
2013,Středočeský kraj,Beroun,Běštín,0,1,0,7,21,1,0,1,7,1,2,34,2,1,,,3,1,8,,0,4,,34,264,128,129
2013,Středočeský kraj,Beroun,Broumy,1,8,0,19,78,5,1,4,60,0,0,111,13,3,,,12,7,20,,0,23,,85,738,450,454
2013,Středočeský kraj,Beroun,Březová,0,1,0,13,17,1,0,1,16,0,1,37,3,0,,,8,2,6,,0,3,,31,233,140,140
2013,Středočeský kraj,Beroun,Bubovice,0,5,0,24,22,3,1,2,50,0,3,41,11,0,,,12,1,12,,0,3,,33,318,223,224
2013,Středočeský kraj,Beroun,Bykoš,0,1,0,7,27,1,1,0,7,2,0,28,0,0,,,8,2,6,,0,6,,18,179,114,114
2013,Středočeský kraj,Beroun,Bzová,0,6,0,6,45,2,2,1,24,0,4,44,9,1,,,11,4,14,,1,1,,47,366,222,223
