year,region,county,town,kdúčsl,Liberálové.CZ,ods,ksčm,Konzervativní strana,Sdruž.pro rep.-Republ.str.Čsl.,EVROPSKÝ STŘED,Suverenita-blok J.Bobošíkové,STOP,top_09,Dělnic.str.sociální spravedl.,Strana svobodných občanů,Koruna Česká (monarch.strana),-,Klíčové hnutí,Humanistická strana,sz,Strana Práv Občanů ZEMANOVCI,Volte Pr.Blok www.cibulka.net,Česká str.národ.socialistická,Česká pirátská strana,vv,čssd,NÁRODNÍ PROSPERITA,Česká strana národně sociální,Moravané,OBČANÉ.CZ,voters,votes_ok,votes_all
2010,Hlavní město Praha,Praha,Praha 1,580,,4184,643,11,,5,198,5,5263,72,157,39,0,48,18,1265,370,67,,120,1710,1954,,6,,37,24178,16752,16854
2010,Hlavní město Praha,Praha,Praha 10,1275,,14563,3990,30,,20,1235,18,15425,422,553,51,0,129,46,2773,1720,192,,406,5334,9598,,25,,93,85918,57898,58172
2010,Hlavní město Praha,Praha,Praha 11,823,,9723,3403,19,,10,1248,26,10347,342,401,69,0,92,41,1711,1588,163,,365,5015,7282,,33,,90,62144,42791,43054
2010,Hlavní město Praha,Praha,Praha 12,568,,6816,2504,16,,7,858,13,7604,216,340,34,0,51,34,1136,1091,121,,235,3452,4725,,11,,52,43739,29884,30023
2010,Hlavní město Praha,Praha,Praha 13,590,,7023,1647,10,,10,736,4,7690,179,357,59,0,35,35,1234,1083,100,,285,3269,3766,,11,,75,41969,28198,28322
2010,Hlavní město Praha,Praha,Praha 14,345,,4757,1292,17,,9,618,7,4932,204,200,34,0,23,14,714,712,67,,140,2431,3059,,12,,45,31802,19632,19722
2010,Hlavní město Praha,Praha,Praha 15,262,,3941,1051,6,,5,457,3,4266,129,180,21,0,28,15,631,550,74,,121,1858,2369,,7,,38,23283,16012,16090
2010,Hlavní město Praha,Praha,Praha 16,68,,1168,290,2,,0,100,1,1231,39,46,2,0,6,7,152,155,19,,43,439,603,,2,,12,6043,4385,4414
2010,Hlavní město Praha,Praha,Praha 17,280,,2943,914,1,,2,314,3,3198,95,146,16,0,19,18,490,527,44,,94,1385,1967,,9,,18,19003,12483,12553
2010,Hlavní město Praha,Praha,Praha 18,130,,1836,611,4,,5,239,2,1870,65,106,8,0,10,4,286,304,23,,74,1001,1534,,2,,12,12393,8126,8175
2010,Hlavní město Praha,Praha,Praha 19,46,,938,301,2,,1,62,2,863,21,27,4,0,5,1,133,125,8,,23,326,538,,5,,3,4540,3434,3448
2010,Hlavní město Praha,Praha,Praha 2,631,,6018,1052,21,,6,426,5,7190,176,233,41,0,39,18,1648,561,101,,191,2185,3507,,11,,54,36548,24114,24218
2010,Hlavní město Praha,Praha,Praha 20,168,,1943,776,7,,1,214,3,1907,31,66,10,0,12,5,217,316,33,,62,827,1188,,3,,19,11109,7808,7845
2010,Hlavní město Praha,Praha,Praha 21,67,,1555,273,2,,2,93,2,1480,35,52,6,0,7,3,168,180,19,,34,521,664,,3,,9,7236,5175,5215
2010,Hlavní město Praha,Praha,Praha 22,63,,1205,181,1,,3,102,3,1076,28,49,0,0,11,4,133,132,19,,21,417,511,,2,,7,5591,3968,3987
2010,Hlavní město Praha,Praha,Praha 3,723,,8468,2299,6,,8,762,13,10024,249,378,48,0,60,31,2074,1082,127,,319,3625,5785,,16,,69,56645,36166,36353
2010,Hlavní město Praha,Praha,Praha 4,1584,,17419,4305,30,,26,1510,16,19079,415,602,80,0,134,52,3273,2121,285,,481,6684,11278,,36,,137,102641,69547,69921
2010,Hlavní město Praha,Praha,Praha 5,907,,9770,2016,19,,14,627,6,12300,180,387,50,0,52,44,2020,970,128,,279,5550,5522,,11,,65,60571,40917,41139
2010,Hlavní město Praha,Praha,Praha 6,1586,,14469,4070,18,,19,908,9,16033,265,563,69,0,101,56,3240,1404,193,,393,4086,7618,,21,,101,76005,55222,55545
2010,Hlavní město Praha,Praha,Praha 7,436,,5163,1004,9,,6,354,11,6188,142,229,28,0,42,17,1471,587,87,,173,1791,3030,,9,,40,31845,20817,20925
2010,Hlavní město Praha,Praha,Praha 8,1176,,12169,4431,37,,12,1464,17,13328,395,524,63,0,75,41,2391,1717,244,,395,5520,9243,,26,,116,82368,53384,53691
2010,Hlavní město Praha,Praha,Praha 9,430,,6167,1458,12,,6,620,6,5924,191,244,19,0,43,10,960,752,118,,172,2673,4221,,11,,52,39173,24089,24216
2010,Hlavní město Praha,Praha,Praha-Běchovice,11,,299,71,1,,0,26,0,233,8,7,2,0,1,2,38,41,2,,4,115,139,,0,,2,1431,1002,1002
2010,Hlavní město Praha,Praha,Praha-Benice,2,,98,16,0,,0,10,1,111,2,2,0,0,0,0,7,8,4,,3,31,26,,1,,1,407,323,324
2010,Hlavní město Praha,Praha,Praha-Březiněves,9,,144,51,0,,1,11,0,167,4,15,1,0,0,0,21,15,0,,2,68,96,,0,,0,752,605,605
2010,Hlavní město Praha,Praha,Praha-Čakovice,116,,1201,290,1,,1,137,0,1073,29,47,6,0,3,2,152,168,10,,25,485,602,,3,,8,6182,4359,4379
2010,Hlavní město Praha,Praha,Praha-Ďáblice,14,,427,104,1,,0,51,2,452,16,17,2,0,5,0,95,50,1,,5,150,255,,0,,4,2274,1651,1655
2010,Hlavní město Praha,Praha,Praha-Dolní Chabry,45,,603,87,1,,0,49,0,592,11,20,3,0,3,0,63,35,7,,14,182,207,,0,,1,2686,1923,1932
2010,Hlavní město Praha,Praha,Praha-Dolní Měcholupy,11,,321,41,0,,0,49,1,267,5,7,0,0,1,1,28,18,2,,3,87,106,,1,,0,1266,949,960
2010,Hlavní město Praha,Praha,Praha-Dolní Počernice,31,,339,74,0,,1,41,0,340,12,17,3,0,2,3,48,55,4,,1,112,135,,1,,0,1660,1219,1223
2010,Hlavní město Praha,Praha,Praha-Dubeč,27,,439,121,1,,1,56,2,493,13,17,1,0,3,1,45,64,5,,4,190,216,,1,,7,2373,1707,1732
2010,Hlavní město Praha,Praha,Praha-Klánovice,22,,544,58,0,,0,25,3,558,4,17,0,0,2,1,138,62,5,,10,150,201,,0,,9,2433,1809,1820
2010,Hlavní město Praha,Praha,Praha-Koloděje,5,,262,37,0,,0,17,0,214,2,6,0,0,1,2,24,27,2,,6,64,64,,1,,0,941,734,735
2010,Hlavní město Praha,Praha,Praha-Kolovraty,30,,519,73,0,,0,34,0,512,5,22,1,0,1,0,59,46,2,,11,146,178,,0,,5,2234,1644,1676
2010,Hlavní město Praha,Praha,Praha-Královice,2,,34,18,0,,0,7,0,35,1,0,0,0,1,1,6,5,1,,0,16,36,,0,,1,244,164,167
2010,Hlavní město Praha,Praha,Praha-Křeslice,10,,133,11,0,,0,8,0,149,0,4,0,0,0,1,14,11,1,,4,43,52,,1,,0,567,442,443
2010,Hlavní město Praha,Praha,Praha-Kunratice,86,,1141,186,0,,4,74,2,1307,29,41,5,0,1,4,150,101,10,,22,344,418,,0,,8,5417,3933,3954
2010,Hlavní město Praha,Praha,Praha-Libuš,73,,1240,288,2,,1,131,2,1285,48,48,2,0,7,2,174,162,21,,37,557,510,,2,,9,6720,4601,4621
2010,Hlavní město Praha,Praha,Praha-Lipence,10,,406,60,1,,0,32,0,362,7,6,0,0,2,0,33,34,7,,5,157,114,,1,,3,1664,1240,1247
2010,Hlavní město Praha,Praha,Praha-Lochkov,7,,94,26,0,,0,7,0,91,8,8,0,0,0,0,4,4,1,,5,46,38,,0,,3,473,342,344
2010,Hlavní město Praha,Praha,Praha-Lysolaje,22,,160,25,1,,0,13,0,219,2,9,1,0,1,0,50,11,2,,3,62,53,,0,,0,837,634,643
2010,Hlavní město Praha,Praha,Praha-Nebušice,17,,338,83,1,,0,32,0,339,9,12,0,0,3,0,56,26,5,,6,124,154,,0,,4,1661,1209,1212
2010,Hlavní město Praha,Praha,Praha-Nedvězí,2,,56,5,0,,0,2,0,50,3,0,0,0,0,0,5,3,1,,0,25,15,,0,,0,232,167,168
2010,Hlavní město Praha,Praha,Praha-Petrovice,63,,762,226,2,,0,97,0,921,29,47,6,0,4,3,146,120,11,,35,370,396,,2,,7,4956,3247,3262
2010,Hlavní město Praha,Praha,Praha-Přední Kopanina,7,,78,8,0,,0,4,0,97,1,1,0,0,0,0,11,4,2,,2,29,34,,0,,0,388,278,278
2010,Hlavní město Praha,Praha,Praha-Řeporyje,39,,563,68,1,,0,40,1,455,8,11,1,0,1,0,59,59,6,,12,157,188,,0,,4,2474,1673,1678
2010,Hlavní město Praha,Praha,Praha-Satalice,31,,344,63,0,,0,32,0,337,4,10,0,0,0,0,36,26,3,,8,89,152,,2,,0,1529,1137,1145
2010,Hlavní město Praha,Praha,Praha-Slivenec,21,,437,47,0,,2,45,0,509,6,16,1,0,3,3,52,40,6,,15,173,157,,1,,2,2170,1536,1540
2010,Hlavní město Praha,Praha,Praha-Suchdol,79,,712,188,2,,2,58,2,1081,12,37,6,0,7,2,231,108,13,,22,304,439,,0,,3,4751,3308,3340
2010,Hlavní město Praha,Praha,Praha-Šeberov,16,,501,78,1,,0,45,0,470,14,10,2,0,4,0,56,34,4,,10,103,139,,0,,2,1940,1489,1494
2010,Hlavní město Praha,Praha,Praha-Štěrboholy,10,,266,48,0,,0,12,0,246,8,4,0,0,2,0,24,21,0,,6,76,84,,0,,0,1068,807,808
2010,Hlavní město Praha,Praha,Praha-Troja,18,,174,20,0,,1,4,0,233,2,5,0,0,2,0,42,20,2,,6,39,57,,0,,0,771,625,632
2010,Hlavní město Praha,Praha,Praha-Újezd,25,,417,60,0,,0,31,1,469,3,11,3,0,1,0,56,46,1,,14,119,128,,0,,2,1803,1387,1392
2010,Hlavní město Praha,Praha,Praha-Velká Chuchle,13,,267,58,2,,0,19,0,362,4,13,1,0,2,0,56,39,4,,10,98,158,,2,,1,1447,1109,1111
2010,Hlavní město Praha,Praha,Praha-Vinoř,93,,464,123,1,,1,47,1,495,3,13,2,0,4,3,74,109,9,,21,190,281,,0,,5,2623,1939,1939
2010,Hlavní město Praha,Praha,Praha-Zbraslav,93,,1437,304,6,,1,149,2,1514,23,48,8,0,9,4,287,159,21,,27,503,622,,1,,7,7212,5225,5280
2010,Hlavní město Praha,Praha,Praha-Zličín,39,,556,120,1,,3,59,0,584,16,21,3,0,1,3,68,73,14,,8,239,294,,3,,4,3129,2109,2117
2010,Středočeský kraj,Benešov,Benešov,239,2,2125,759,1,10,,263,3,1503,46,66,18,,,,262,327,26,11,80,815,1958,,,,12,13246,8526,8584
2010,Středočeský kraj,Benešov,Bernartice,38,0,13,10,0,0,,7,0,21,0,0,0,,,,4,3,1,0,0,8,35,,,,3,202,143,144
2010,Středočeský kraj,Benešov,Bílkovice,3,0,3,21,0,0,,9,0,17,1,0,0,,,,0,0,1,0,0,14,41,,,,0,161,110,110
2010,Středočeský kraj,Benešov,Blažejovice,6,0,17,11,0,0,,0,0,6,0,0,0,,,,0,5,0,0,2,2,19,,,,0,90,68,68
2010,Středočeský kraj,Benešov,Borovnice,3,0,13,0,0,0,,1,0,9,1,0,0,,,,0,1,0,1,0,1,18,,,,0,67,48,48
2010,Středočeský kraj,Benešov,Bukovany,1,0,71,30,0,0,,9,0,71,3,4,3,,,,7,22,0,0,0,34,82,,,,0,568,337,338
2010,Středočeský kraj,Benešov,Bystřice,67,0,424,231,0,1,,103,3,301,19,30,3,,,,42,80,18,1,21,227,501,,,,6,3395,2078,2083
2010,Středočeský kraj,Benešov,Ctiboř,4,0,4,3,0,0,,1,0,27,2,0,0,,,,2,1,0,0,1,4,6,,,,0,91,55,55
2010,Středočeský kraj,Benešov,Čakov,6,0,18,3,0,0,,3,0,9,0,0,0,,,,1,1,0,0,0,8,18,,,,0,95,67,67
2010,Středočeský kraj,Benešov,Čechtice,85,2,159,81,0,3,,22,0,119,4,7,3,,,,10,33,4,1,6,61,185,,,,4,1165,789,792
2010,Středočeský kraj,Benešov,Čerčany,36,0,398,111,0,6,,51,0,257,8,15,2,,,,37,43,7,1,16,162,289,,,,7,2189,1446,1451
2010,Středočeský kraj,Benešov,Červený Újezd,26,0,35,17,0,0,,5,1,27,4,2,0,,,,2,5,0,0,4,28,29,,,,0,261,185,185
2010,Středočeský kraj,Benešov,Český Šternberk,0,0,23,10,0,1,,4,0,18,2,0,1,,,,0,5,0,1,0,11,19,,,,1,132,96,100
2010,Středočeský kraj,Benešov,Čtyřkoly,11,0,99,20,0,1,,9,0,80,4,2,1,,,,14,5,1,0,0,41,34,,,,0,409,322,325
2010,Středočeský kraj,Benešov,Děkanovice,11,0,3,2,0,0,,2,0,3,0,0,0,,,,0,3,0,0,0,0,11,,,,0,53,35,35
2010,Středočeský kraj,Benešov,Divišov,44,0,149,100,0,2,,31,0,138,7,8,1,,,,13,39,5,2,1,75,168,,,,2,1225,785,793
2010,Středočeský kraj,Benešov,Dolní Kralovice,29,0,64,94,0,0,,21,0,53,3,3,0,,,,9,24,1,1,2,37,131,,,,1,756,473,474
2010,Středočeský kraj,Benešov,Drahňovice,3,0,15,5,0,0,,1,0,10,0,0,0,,,,1,1,0,0,0,0,3,,,,0,51,39,39
2010,Středočeský kraj,Benešov,Dunice,6,0,10,4,0,0,,0,0,0,0,0,0,,,,1,0,0,0,0,3,17,,,,0,58,41,41
2010,Středočeský kraj,Benešov,Heřmaničky,15,0,73,71,0,0,,19,0,40,4,2,0,,,,4,16,5,0,6,43,80,,,,2,559,380,383
2010,Středočeský kraj,Benešov,Hradiště,2,0,6,3,0,0,,1,0,1,0,1,0,,,,0,0,0,0,0,1,6,,,,0,28,21,21
2010,Středočeský kraj,Benešov,Hulice,1,0,28,22,1,0,,6,0,31,0,2,2,,,,1,1,1,0,0,23,38,,,,0,243,157,158
2010,Středočeský kraj,Benešov,Hvězdonice,0,0,41,14,0,0,,3,0,44,0,3,1,,,,3,7,0,0,5,23,35,,,,1,258,180,180
2010,Středočeský kraj,Benešov,Chářovice,2,0,24,22,0,0,,3,0,11,0,0,0,,,,4,4,0,0,0,13,32,,,,0,141,115,116
2010,Středočeský kraj,Benešov,Chleby,1,0,14,4,0,0,,1,0,7,0,0,0,,,,0,4,0,0,0,1,7,,,,0,52,39,40
2010,Středočeský kraj,Benešov,Chlístov,4,0,51,15,0,0,,7,0,28,2,2,0,,,,5,11,0,0,2,24,19,,,,0,263,170,171
2010,Středočeský kraj,Benešov,Chlum,7,0,4,12,0,0,,5,0,10,0,0,0,,,,0,8,0,0,0,5,30,,,,0,119,81,81
2010,Středočeský kraj,Benešov,Chmelná,22,0,16,3,0,0,,2,0,6,0,1,0,,,,2,0,0,0,0,9,12,,,,0,86,73,73
2010,Středočeský kraj,Benešov,Chocerady,17,0,141,60,0,2,,16,0,126,5,8,1,,,,18,17,6,1,10,56,124,,,,1,930,609,620
2010,Středočeský kraj,Benešov,Choratice,4,0,14,2,0,0,,2,0,2,0,0,0,,,,1,2,0,0,0,1,6,,,,0,57,34,34
2010,Středočeský kraj,Benešov,Chotýšany,6,0,67,24,0,0,,10,0,45,0,0,0,,,,4,8,1,0,0,27,66,,,,1,386,259,261
2010,Středočeský kraj,Benešov,Chrášťany,6,0,27,19,0,0,,2,0,17,0,0,0,,,,2,4,0,0,0,18,11,,,,1,166,107,108
2010,Středočeský kraj,Benešov,Jankov,24,0,64,64,0,4,,17,0,60,3,1,1,,,,9,19,0,2,4,53,89,,,,0,685,414,418
2010,Středočeský kraj,Benešov,Javorník,9,0,9,5,0,0,,1,0,12,0,0,0,,,,0,7,0,0,3,6,30,,,,1,112,83,83
2010,Středočeský kraj,Benešov,Ješetice,6,0,3,8,0,0,,3,0,8,1,3,0,,,,0,2,1,0,0,11,26,,,,0,112,72,72
2010,Středočeský kraj,Benešov,Kamberk,5,0,26,6,0,2,,2,0,12,1,0,0,,,,0,3,0,0,0,6,21,,,,0,137,84,84
2010,Středočeský kraj,Benešov,Keblov,5,0,13,17,0,0,,8,0,12,1,0,0,,,,0,2,1,0,1,8,39,,,,0,157,107,108
2010,Středočeský kraj,Benešov,Kladruby,17,0,39,18,0,1,,10,1,40,2,3,0,,,,6,6,0,0,0,18,41,,,,1,265,203,208
2010,Středočeský kraj,Benešov,Kondrac,22,0,50,25,0,0,,15,0,35,4,2,1,,,,1,10,0,0,1,20,60,,,,0,374,246,248
2010,Středočeský kraj,Benešov,Kozmice,9,0,36,13,0,0,,8,0,16,0,2,0,,,,1,5,3,0,3,13,32,,,,0,201,141,141
2010,Středočeský kraj,Benešov,Krhanice,6,1,111,45,0,0,,22,1,83,12,4,2,,,,11,15,4,0,11,50,88,,,,0,708,466,471
2010,Středočeský kraj,Benešov,Krňany,5,0,59,33,0,0,,14,0,36,0,1,2,,,,6,7,0,0,1,19,35,,,,1,325,219,219
2010,Středočeský kraj,Benešov,Křečovice,24,2,82,65,1,2,,17,0,62,4,0,3,,,,6,7,7,0,3,49,76,,,,2,606,412,415
2010,Středočeský kraj,Benešov,Křivsoudov,17,1,38,25,0,1,,3,0,33,1,3,1,,,,4,8,2,0,3,13,37,,,,0,330,190,190
2010,Středočeský kraj,Benešov,Kuňovice,6,0,10,0,0,0,,0,0,10,0,0,0,,,,0,1,0,0,0,19,7,,,,0,66,53,53
2010,Středočeský kraj,Benešov,Lešany,9,0,63,31,0,0,,12,0,54,3,0,0,,,,5,16,5,0,0,20,84,,,,1,491,303,304
2010,Středočeský kraj,Benešov,Libež,7,0,12,26,0,0,,2,0,11,0,1,0,,,,1,1,0,0,1,9,15,,,,0,142,86,86
2010,Středočeský kraj,Benešov,Litichovice,5,0,2,10,0,0,,0,0,5,1,1,0,,,,0,1,0,0,0,1,5,,,,0,43,31,33
2010,Středočeský kraj,Benešov,Loket,38,0,51,24,1,0,,10,0,51,1,0,0,,,,7,21,1,0,2,41,99,,,,1,469,348,348
2010,Středočeský kraj,Benešov,Louňovice pod Blaníkem,13,0,88,48,0,0,,3,0,56,2,1,0,,,,4,15,3,4,2,55,92,,,,3,581,389,392
2010,Středočeský kraj,Benešov,Lštění,3,0,53,32,0,0,,17,0,64,1,3,0,,,,2,18,0,1,5,23,29,,,,0,339,251,252
2010,Středočeský kraj,Benešov,Maršovice,15,0,58,54,0,0,,26,0,50,3,1,1,,,,18,10,6,0,4,49,85,,,,2,594,382,383
2010,Středočeský kraj,Benešov,Mezno,6,0,47,36,0,0,,10,0,32,2,1,0,,,,0,6,0,0,0,17,41,,,,0,314,198,199
2010,Středočeský kraj,Benešov,Miličín,28,0,96,64,0,1,,34,0,74,1,5,0,,,,6,16,0,0,2,69,103,,,,0,770,499,501
2010,Středočeský kraj,Benešov,Miřetice,11,0,22,5,0,0,,5,0,22,1,0,0,,,,1,2,0,0,3,10,10,,,,0,118,92,92
2010,Středočeský kraj,Benešov,Mnichovice,5,1,21,18,0,0,,3,0,13,2,1,0,,,,2,1,1,0,0,22,23,,,,1,172,114,115
2010,Středočeský kraj,Benešov,Mrač,10,0,84,46,0,0,,18,0,65,2,8,0,,,,13,12,4,0,1,56,99,,,,0,615,418,418
2010,Středočeský kraj,Benešov,Načeradec,33,0,91,78,0,3,,26,0,62,8,5,0,,,,2,14,1,2,0,44,111,,,,1,852,481,483
2010,Středočeský kraj,Benešov,Nespeky,8,0,122,17,6,0,,10,1,58,3,7,0,,,,2,20,1,0,2,30,53,,,,0,474,340,340
2010,Středočeský kraj,Benešov,Netvořice,8,0,138,61,0,0,,23,0,99,4,3,0,,,,11,15,3,2,10,60,116,,,,1,916,554,560
2010,Středočeský kraj,Benešov,Neustupov,22,0,38,36,0,0,,9,0,18,3,1,0,,,,4,7,1,0,1,31,75,,,,0,425,246,246
2010,Středočeský kraj,Benešov,Neveklov,35,2,256,123,0,0,,43,1,181,12,15,1,,,,33,28,10,0,15,120,251,,,,5,2038,1131,1144
2010,Středočeský kraj,Benešov,Olbramovice,16,0,117,70,0,0,,25,0,97,8,9,0,,,,12,34,1,1,5,54,157,,,,2,950,608,608
2010,Středočeský kraj,Benešov,Ostrov,1,0,10,4,0,0,,2,0,3,0,0,0,,,,1,0,0,0,1,3,15,,,,0,53,40,40
2010,Středočeský kraj,Benešov,Ostředek,11,0,34,14,0,0,,16,1,30,2,2,1,,,,10,9,5,0,1,21,43,,,,2,269,202,202
2010,Středočeský kraj,Benešov,Pavlovice,4,0,17,14,0,0,,1,3,21,1,1,0,,,,1,11,1,0,0,7,26,,,,1,146,109,109
2010,Středočeský kraj,Benešov,Petroupim,4,0,39,14,0,1,,4,0,22,3,3,1,,,,3,9,0,0,0,16,26,,,,0,237,145,146
2010,Středočeský kraj,Benešov,Popovice,5,0,17,23,0,0,,2,0,17,0,0,1,,,,4,6,0,0,1,22,63,,,,2,240,163,163
2010,Středočeský kraj,Benešov,Poříčí nad Sázavou,22,0,116,40,0,0,,20,0,152,3,8,3,,,,13,27,1,1,8,54,134,,,,0,930,602,609
2010,Středočeský kraj,Benešov,Postupice,29,0,115,71,0,1,,30,2,78,3,8,1,,,,16,25,1,0,2,51,140,,,,3,938,576,580
2010,Středočeský kraj,Benešov,Pravonín,11,0,50,42,0,0,,13,0,48,5,4,0,,,,4,5,1,0,3,34,54,,,,2,444,276,277
2010,Středočeský kraj,Benešov,Přestavlky u Čerčan,0,0,51,8,0,0,,6,0,27,0,0,1,,,,4,12,0,0,1,23,29,,,,0,260,162,162
2010,Středočeský kraj,Benešov,Psáře,2,0,11,8,0,0,,3,0,18,0,1,0,,,,0,2,0,0,0,6,25,,,,0,107,76,77
2010,Středočeský kraj,Benešov,Pyšely,14,0,232,66,0,1,,29,0,244,5,8,1,,,,26,22,4,3,11,83,132,,,,1,1232,882,885
2010,Středočeský kraj,Benešov,Rabyně,2,0,40,13,0,0,,12,0,22,1,0,0,,,,4,3,1,0,0,26,42,,,,0,228,166,167
2010,Středočeský kraj,Benešov,Radošovice,25,0,13,22,1,0,,3,0,25,1,2,0,,,,3,13,0,0,1,12,50,,,,1,266,172,172
2010,Středočeský kraj,Benešov,Rataje,16,0,19,7,0,0,,3,0,15,1,0,0,,,,0,4,0,0,1,8,22,,,,0,146,96,96
2010,Středočeský kraj,Benešov,Ratměřice,3,0,29,16,1,0,,5,0,24,3,0,1,,,,2,4,0,0,0,2,44,,,,0,189,134,136
2010,Středočeský kraj,Benešov,Řehenice,4,0,67,12,0,0,,1,0,54,1,6,1,,,,3,1,2,0,3,25,39,,,,2,322,221,222
2010,Středočeský kraj,Benešov,Řimovice,2,0,14,19,0,0,,5,0,17,0,0,0,,,,1,7,0,0,3,16,17,,,,0,169,101,104
2010,Středočeský kraj,Benešov,Sázava,29,1,355,241,0,0,,79,2,316,23,10,1,,,,40,93,14,2,17,184,497,,,,6,3114,1910,1924
2010,Středočeský kraj,Benešov,Slověnice,3,0,1,9,0,0,,3,0,1,0,0,0,,,,0,0,0,0,0,3,7,,,,0,34,27,27
2010,Středočeský kraj,Benešov,Smilkov,6,0,7,35,0,0,,6,0,18,0,2,0,,,,6,4,1,0,2,18,37,,,,1,226,143,144
2010,Středočeský kraj,Benešov,Snět,12,0,16,2,0,0,,0,0,3,0,0,0,,,,2,0,3,0,0,10,19,,,,0,97,67,67
2010,Středočeský kraj,Benešov,Soběhrdy,13,0,35,8,0,0,,9,0,45,1,1,1,,,,7,3,6,0,0,26,44,,,,0,293,199,200
2010,Středočeský kraj,Benešov,Soutice,4,0,23,15,0,2,,15,2,22,2,0,0,,,,2,8,0,0,0,7,32,,,,0,225,134,138
2010,Středočeský kraj,Benešov,Stranný,0,0,12,10,0,0,,2,0,7,0,1,0,,,,3,1,0,0,2,9,21,,,,0,89,68,69
2010,Středočeský kraj,Benešov,Strojetice,2,0,18,13,0,0,,0,0,10,0,0,0,,,,0,5,2,0,0,6,14,,,,0,105,70,70
2010,Středočeský kraj,Benešov,Struhařov,8,0,89,45,0,0,,25,0,58,0,1,0,,,,7,4,10,0,7,37,77,,,,1,575,369,369
2010,Středočeský kraj,Benešov,Střezimíř,9,0,31,18,0,0,,14,0,31,5,1,0,,,,1,15,3,0,0,14,22,,,,1,257,165,165
2010,Středočeský kraj,Benešov,Studený,5,0,17,23,0,0,,1,1,3,0,0,0,,,,0,3,0,0,0,6,8,,,,0,83,67,67
2010,Středočeský kraj,Benešov,Šetějovice,10,0,6,3,0,0,,0,0,3,1,0,0,,,,0,0,0,0,0,4,9,,,,0,53,36,36
2010,Středočeský kraj,Benešov,Tehov,3,0,28,19,0,0,,8,0,41,0,4,0,,,,4,6,2,1,1,10,27,,,,2,268,156,158
2010,Středočeský kraj,Benešov,Teplýšovice,22,0,39,25,0,1,,8,0,52,2,2,2,,,,2,8,0,1,3,34,55,,,,3,344,259,259
2010,Středočeský kraj,Benešov,Tichonice,5,0,23,17,0,0,,8,0,11,0,0,0,,,,2,0,6,1,0,15,54,,,,0,173,142,143
2010,Středočeský kraj,Benešov,Tisem,2,0,33,14,0,0,,2,0,11,0,0,0,,,,0,6,0,0,1,13,45,,,,0,173,127,129
2010,Středočeský kraj,Benešov,Tomice,7,0,9,11,0,0,,2,1,4,0,0,0,,,,0,9,0,0,2,15,18,,,,0,107,78,78
2010,Středočeský kraj,Benešov,Trhový Štěpánov,54,0,120,70,0,0,,27,1,117,2,7,1,,,,11,37,2,0,8,46,144,,,,0,1049,647,648
2010,Středočeský kraj,Benešov,Třebešice,0,0,22,5,0,0,,2,0,10,1,2,0,,,,0,5,0,0,0,8,6,,,,0,75,61,61
2010,Středočeský kraj,Benešov,Týnec nad Sázavou,44,1,634,361,0,2,,118,1,481,26,29,8,,,,59,88,24,3,19,289,639,,,,8,4419,2834,2850
2010,Středočeský kraj,Benešov,Václavice,6,0,69,23,0,0,,7,1,33,0,6,0,,,,3,12,3,1,3,21,64,,,,2,415,254,255
2010,Středočeský kraj,Benešov,Veliš,19,0,27,17,0,0,,6,0,27,0,1,2,,,,3,4,1,2,1,6,39,,,,0,259,155,156
2010,Středočeský kraj,Benešov,Vlašim,291,1,1071,672,0,5,,235,3,1218,43,35,5,,,,72,189,21,10,40,404,1476,,,,7,9916,5798,5836
2010,Středočeský kraj,Benešov,Vodslivy,6,0,18,5,0,0,,1,0,5,0,0,0,,,,1,5,0,0,2,5,10,,,,0,83,58,58
2010,Středočeský kraj,Benešov,Vojkov,7,0,55,31,0,0,,13,0,35,4,5,0,,,,6,8,2,0,4,25,55,,,,1,438,251,253
2010,Středočeský kraj,Benešov,Votice,83,1,509,254,0,1,,133,2,306,18,20,3,,,,33,87,13,0,18,199,623,,,,4,3723,2307,2313
2010,Středočeský kraj,Benešov,Vracovice,24,0,41,24,0,0,,8,0,31,0,0,0,,,,2,10,2,1,0,20,40,,,,0,308,203,205
2010,Středočeský kraj,Benešov,Vranov,1,0,50,19,0,0,,14,0,47,0,1,1,,,,5,11,0,0,1,14,50,,,,0,289,214,216
2010,Středočeský kraj,Benešov,Vrchotovy Janovice,18,0,75,41,1,1,,23,0,59,2,3,0,,,,9,25,2,0,6,43,150,,,,3,752,461,463
2010,Středočeský kraj,Benešov,Všechlapy,0,0,23,4,0,0,,0,0,10,0,0,0,,,,0,3,0,1,1,4,3,,,,0,69,49,49
2010,Středočeský kraj,Benešov,Vysoký Újezd,0,0,29,12,0,0,,7,0,14,1,5,0,,,,4,3,0,0,0,11,22,,,,0,155,108,108
2010,Středočeský kraj,Benešov,Xaverov,6,0,7,4,0,0,,0,0,5,0,0,0,,,,0,3,0,0,1,3,8,,,,1,45,38,38
2010,Středočeský kraj,Benešov,Zdislavice,18,0,44,26,0,2,,19,0,50,3,4,0,,,,2,16,0,0,0,23,79,,,,0,449,286,291
2010,Středočeský kraj,Benešov,Zvěstov,15,0,46,22,0,0,,9,0,20,1,4,0,,,,5,0,1,0,1,11,55,,,,0,310,190,190
2010,Středočeský kraj,Beroun,Bavoryně,0,0,24,10,0,0,,3,0,19,2,2,0,,,,2,3,5,0,1,9,17,,,,1,158,98,98
