year,region,county,town,,Nezávislí,kdúčsl,ods,ksčm,sz,Unie svobody,Sdruž.pro rep.-Republ.str.Čsl.,čssd,Občanská koalice-Politic.klub,Demokratická unie,Důchodci za životní jistoty,Česká strana národně sociální,Moravská demokratická strana,voters,votes_ok,votes_all
1998,Středočeský kraj,Beroun,Karlštejn,,10,26,206,39,4,59,7,170,0,8,9,1,,675,539,542
1998,Středočeský kraj,Beroun,Komárov,,17,72,474,227,12,79,69,503,10,25,34,2,,1906,1524,1531
1998,Středočeský kraj,Beroun,Koněprusy,,1,5,42,17,2,8,2,35,0,3,2,0,,138,117,118
1998,Středočeský kraj,Beroun,Korno,,0,10,22,4,1,1,2,8,0,0,2,0,,65,50,50
1998,Středočeský kraj,Beroun,Kotopeky,,4,19,42,19,3,8,6,59,4,3,8,0,,218,175,175
1998,Středočeský kraj,Beroun,Králův Dvůr,,29,148,854,403,28,190,162,978,13,27,99,11,,4335,2942,2948
1998,Středočeský kraj,Beroun,Kublov,,3,18,128,71,7,28,5,112,3,11,11,1,,460,398,400
1998,Středočeský kraj,Beroun,Lážovice,,0,5,13,10,4,2,2,15,0,1,2,2,,68,56,56
1998,Středočeský kraj,Beroun,Lhotka,,4,15,50,13,2,9,5,77,0,1,6,3,,229,185,185
1998,Středočeský kraj,Beroun,Libomyšl,,5,18,78,48,3,14,14,103,0,5,12,2,,386,302,302
1998,Středočeský kraj,Beroun,Liteň,,4,51,133,63,7,54,29,186,0,4,15,4,,732,550,550
1998,Středočeský kraj,Beroun,Loděnice,,8,27,324,77,8,71,26,299,5,5,38,0,,1214,888,891
1998,Středočeský kraj,Beroun,Lochovice,,2,56,159,88,7,53,24,205,1,3,37,1,,836,636,642
1998,Středočeský kraj,Beroun,Lužce,,1,2,19,5,0,8,0,27,0,0,5,0,,78,67,67
1998,Středočeský kraj,Beroun,Malá Víska,,0,1,26,26,1,4,0,7,0,0,1,0,,76,66,68
1998,Středočeský kraj,Beroun,Málkov,,1,3,14,8,0,3,1,14,0,1,2,0,,65,47,47
1998,Středočeský kraj,Beroun,Měňany,,2,10,49,29,1,11,11,66,0,1,2,0,,212,182,182
1998,Středočeský kraj,Beroun,Mezouň,,2,17,100,16,2,27,6,70,5,4,7,1,,299,257,258
1998,Středočeský kraj,Beroun,Mořina,,3,14,107,41,4,18,11,148,2,5,5,0,,456,358,359
1998,Středočeský kraj,Beroun,Mořinka,,0,2,25,1,0,9,9,31,1,0,0,0,,89,78,78
1998,Středočeský kraj,Beroun,Nenačovice,,1,5,33,23,2,12,14,26,1,0,0,2,,141,119,121
1998,Středočeský kraj,Beroun,Nesvačily,,1,15,14,11,1,0,2,23,0,1,4,0,,90,72,72
1998,Středočeský kraj,Beroun,Neumětely,,3,11,80,58,8,15,9,110,1,2,2,0,,389,299,301
1998,Středočeský kraj,Beroun,Nižbor,,14,34,295,101,9,92,30,341,1,27,23,5,,1218,972,972
1998,Středočeský kraj,Beroun,Nový Jáchymov,,6,8,67,68,5,17,14,137,0,2,17,1,,418,342,342
1998,Středočeský kraj,Beroun,Olešná,,2,11,44,54,6,12,11,118,1,1,13,1,,331,274,274
1998,Středočeský kraj,Beroun,Osek,,4,21,121,50,2,26,15,227,2,1,8,0,,597,477,479
1998,Středočeský kraj,Beroun,Osov,,2,25,81,44,2,14,7,50,0,3,26,1,,359,255,256
1998,Středočeský kraj,Beroun,Otmíče,,5,7,16,20,1,4,3,28,0,2,8,0,,112,94,94
1998,Středočeský kraj,Beroun,Otročiněves,,1,11,50,66,6,16,18,115,0,2,11,0,,299,296,298
1998,Středočeský kraj,Beroun,Podbrdy,,1,5,26,17,0,6,4,47,0,1,7,0,,128,114,114
1998,Středočeský kraj,Beroun,Podluhy,,0,22,82,89,6,25,19,118,0,2,22,1,,470,386,387
1998,Středočeský kraj,Beroun,Praskolesy,,2,24,101,113,3,26,34,187,1,5,21,0,,636,517,519
1998,Středočeský kraj,Beroun,Rpety,,2,13,58,32,3,13,16,97,4,2,6,1,,318,247,251
1998,Středočeský kraj,Beroun,Skřipel,,1,7,14,5,1,0,1,22,0,0,0,0,,91,51,55
1998,Středočeský kraj,Beroun,Skuhrov,,2,12,47,26,7,11,6,96,0,5,10,0,,282,222,222
1998,Středočeský kraj,Beroun,Srbsko,,2,17,101,27,0,18,6,99,2,3,9,0,,355,284,289
1998,Středočeský kraj,Beroun,Stašov,,2,11,37,33,3,9,18,100,0,1,10,0,,264,224,226
1998,Středočeský kraj,Beroun,Suchomasty,,1,24,49,69,1,9,16,85,0,2,10,0,,331,266,266
1998,Středočeský kraj,Beroun,Svatá,,3,13,59,45,1,21,12,90,2,0,10,1,,313,257,257
1998,Středočeský kraj,Beroun,Svatý Jan pod Skalou,,0,26,16,6,2,11,2,12,0,0,3,0,,96,78,79
1998,Středočeský kraj,Beroun,Svinaře,,2,9,79,9,0,16,5,59,1,1,5,0,,244,186,186
1998,Středočeský kraj,Beroun,Tetín,,3,18,89,68,1,36,28,167,1,4,15,1,,551,431,431
1998,Středočeský kraj,Beroun,Tlustice,,8,10,116,134,9,18,15,168,0,6,23,0,,611,507,507
1998,Středočeský kraj,Beroun,Tmaň,,5,19,123,79,2,14,25,178,0,4,27,2,,638,478,486
1998,Středočeský kraj,Beroun,Točník,,2,12,47,10,3,14,6,56,1,0,5,0,,191,156,159
1998,Středočeský kraj,Beroun,Trubín,,0,12,22,15,1,9,8,55,0,1,4,0,,143,127,127
1998,Středočeský kraj,Beroun,Trubská,,4,4,8,36,1,2,5,20,0,1,3,1,,97,85,86
1998,Středočeský kraj,Beroun,Újezd,,4,36,102,61,1,17,3,118,3,6,9,1,,436,361,363
1998,Středočeský kraj,Beroun,Velký Chlumec,,0,17,77,37,4,6,7,73,0,4,9,0,,290,234,236
1998,Středočeský kraj,Beroun,Vinařice,,1,9,19,5,1,9,1,22,0,0,0,0,,74,67,68
1998,Středočeský kraj,Beroun,Vižina,,6,15,32,14,2,7,14,38,1,0,9,0,,161,138,139
1998,Středočeský kraj,Beroun,Vráž,,6,30,122,65,6,33,37,182,2,6,10,2,,649,501,504
1998,Středočeský kraj,Beroun,Všeradice,,0,19,55,37,6,13,5,67,1,6,12,0,,299,221,224
1998,Středočeský kraj,Beroun,Vysoký Újezd,,5,11,82,37,5,33,5,115,3,3,12,0,,396,311,312
1998,Středočeský kraj,Beroun,Zadní Třebaň,,3,25,169,29,3,47,7,82,3,9,7,2,,454,386,386
1998,Středočeský kraj,Beroun,Zahořany,,0,4,47,20,3,17,7,43,0,0,0,0,,177,141,142
1998,Středočeský kraj,Beroun,Zaječov,,8,51,231,205,7,48,35,287,2,6,26,1,,1073,907,910
1998,Středočeský kraj,Beroun,Záluží,,3,30,59,51,4,21,9,86,0,8,18,0,,359,289,289
1998,Středočeský kraj,Beroun,Zdice,,25,129,690,274,26,139,94,659,5,27,92,11,,2903,2171,2192
1998,Středočeský kraj,Beroun,Žebrák,,12,38,303,167,21,78,54,429,2,12,28,2,,1480,1146,1146
1998,Středočeský kraj,Beroun,Železná,,1,5,25,15,1,13,8,60,1,2,5,1,,162,137,138
1998,Středočeský kraj,Kladno,Běleč,,1,16,50,16,0,11,3,56,1,3,17,0,,243,174,176
1998,Středočeský kraj,Kladno,Běloky,,2,1,43,14,0,6,1,22,0,2,1,0,,104,92,92
1998,Středočeský kraj,Kladno,Beřovice,,2,11,38,28,0,12,18,33,0,2,5,3,,220,152,152
1998,Středočeský kraj,Kladno,Bílichov,,2,8,14,15,1,5,6,50,1,4,3,0,,132,109,109
1998,Středočeský kraj,Kladno,Blevice,,0,4,28,74,0,13,11,60,1,0,4,0,,236,195,195
1998,Středočeský kraj,Kladno,Brandýsek,,7,33,162,172,15,69,57,375,2,19,25,2,,1279,938,942
1998,Středočeský kraj,Kladno,Braškov,,10,21,194,83,4,27,25,165,0,1,16,0,,642,546,554
1998,Středočeský kraj,Kladno,Bratronice,,7,36,114,63,6,38,28,117,1,6,7,0,,584,423,423
1998,Středočeský kraj,Kladno,Buštěhrad,,67,50,406,198,7,101,59,369,11,13,25,5,,1832,1311,1314
1998,Středočeský kraj,Kladno,Cvrčovice,,8,15,81,97,4,24,17,95,1,2,5,0,,456,349,349
1998,Středočeský kraj,Kladno,Černuc,,6,37,139,80,5,32,18,165,4,6,24,1,,684,517,519
1998,Středočeský kraj,Kladno,Doksy,,9,18,213,119,8,44,27,229,2,12,14,3,,854,698,702
1998,Středočeský kraj,Kladno,Dolany,,0,11,26,17,0,3,7,38,0,0,2,1,,136,105,105
1998,Středočeský kraj,Kladno,Drnek,,0,19,26,27,1,4,4,31,1,3,11,0,,139,127,127
1998,Středočeský kraj,Kladno,Družec,,4,19,158,80,3,36,27,153,1,12,17,0,,643,510,511
1998,Středočeský kraj,Kladno,Dřetovice,,2,1,41,50,2,10,13,83,1,1,10,0,,296,214,220
1998,Středočeský kraj,Kladno,Dřínov,,0,6,22,41,0,6,14,52,0,1,8,5,,199,155,155
1998,Středočeský kraj,Kladno,Hobšovice,,1,4,44,35,3,9,6,54,0,0,8,0,,226,164,165
1998,Středočeský kraj,Kladno,Horní Bezděkov,,1,14,86,37,1,23,18,54,4,3,9,3,,313,253,254
1998,Středočeský kraj,Kladno,Hořešovice,,1,10,44,26,0,4,10,47,1,2,5,0,,168,150,151
1998,Středočeský kraj,Kladno,Hořešovičky,,0,0,18,14,0,6,1,43,0,3,0,1,,104,86,86
1998,Středočeský kraj,Kladno,Hospozín,,5,7,54,71,3,5,16,83,0,1,9,3,,382,257,259
1998,Středočeský kraj,Kladno,Hostouň,,12,30,169,71,6,31,28,156,8,6,22,0,,743,539,542
1998,Středočeský kraj,Kladno,Hradečno,,0,6,92,60,1,23,16,76,6,1,4,1,,358,286,288
1998,Středočeský kraj,Kladno,Hrdlív,,3,7,47,66,3,15,13,80,2,0,6,0,,303,242,243
1998,Středočeský kraj,Kladno,Hřebeč,,13,20,206,104,9,44,41,238,1,4,30,0,,940,710,717
1998,Středočeský kraj,Kladno,Chržín,,3,7,29,15,3,5,4,56,0,1,6,0,,167,129,130
1998,Středočeský kraj,Kladno,Jarpice,,4,3,34,20,2,9,7,62,1,0,5,0,,188,147,147
1998,Středočeský kraj,Kladno,Jedomělice,,6,19,57,33,1,10,9,67,1,2,5,0,,253,210,213
1998,Středočeský kraj,Kladno,Jemníky,,0,8,49,25,1,6,5,38,0,0,2,7,,165,141,141
1998,Středočeský kraj,Kladno,Kačice,,4,33,143,135,5,31,37,225,0,2,29,1,,843,645,649
1998,Středočeský kraj,Kladno,Kamenné Žehrovice,,11,20,261,157,9,84,47,356,7,11,23,0,,1252,986,991
1998,Středočeský kraj,Kladno,Kamenný Most,,6,5,41,67,3,3,14,63,1,2,12,0,,292,217,218
1998,Středočeský kraj,Kladno,Kladno,,358,1538,11043,4777,308,2928,2234,13465,136,446,1467,47,,54970,38747,38961
1998,Středočeský kraj,Kladno,Klobuky,,8,26,96,67,8,23,45,238,2,3,21,2,,705,539,541
1998,Středočeský kraj,Kladno,Kmetiněves,,0,13,35,26,2,11,7,39,0,1,6,0,,207,140,140
1998,Středočeský kraj,Kladno,Knovíz,,2,8,52,69,11,12,24,115,0,3,1,0,,367,297,298
1998,Středočeský kraj,Kladno,Koleč,,3,20,60,63,4,18,20,101,2,2,25,0,,413,318,318
1998,Středočeský kraj,Kladno,Královice,,1,6,15,17,0,4,13,16,0,0,4,0,,94,76,76
1998,Středočeský kraj,Kladno,Kutrovice,,2,5,20,4,3,6,5,16,0,1,5,0,,74,67,67
1998,Středočeský kraj,Kladno,Kvílice,,0,2,13,8,1,2,4,26,0,1,1,0,,65,58,58
1998,Středočeský kraj,Kladno,Kyšice,,5,19,131,46,8,19,7,87,1,4,11,0,,430,338,339
1998,Středočeský kraj,Kladno,Ledce,,9,15,47,62,5,17,25,69,0,2,12,0,,317,263,264
1998,Středočeský kraj,Kladno,Lhota,,10,8,104,101,4,16,19,107,0,4,8,0,,443,381,383
1998,Středočeský kraj,Kladno,Libochovičky,,0,1,8,0,1,1,2,10,0,0,3,0,,34,26,26
1998,Středočeský kraj,Kladno,Libovice,,2,31,27,7,0,6,6,50,1,2,10,0,,183,142,143
1998,Středočeský kraj,Kladno,Libušín,,18,55,314,300,22,72,67,472,2,22,83,2,,1918,1429,1431
1998,Středočeský kraj,Kladno,Lidice,,12,19,92,45,3,29,11,79,2,10,6,0,,362,308,309
1998,Středočeský kraj,Kladno,Líský,,2,2,15,12,1,2,3,14,0,0,5,0,,60,56,56
1998,Středočeský kraj,Kladno,Loucká,,0,2,24,11,1,0,6,26,0,0,2,0,,99,72,73
1998,Středočeský kraj,Kladno,Makotřasy,,4,12,52,22,3,12,3,77,1,2,5,0,,238,193,194
1998,Středočeský kraj,Kladno,Malé Kyšice,,4,8,74,16,1,18,5,40,2,2,3,0,,213,173,174
1998,Středočeský kraj,Kladno,Malé Přítočno,,0,6,54,31,1,10,5,45,0,0,2,0,,192,154,154
1998,Středočeský kraj,Kladno,Malíkovice,,5,9,46,52,4,8,11,73,0,2,8,0,,269,218,220
1998,Středočeský kraj,Kladno,Neprobylice,,0,1,26,6,0,2,12,27,1,0,2,0,,84,77,78
1998,Středočeský kraj,Kladno,Neuměřice,,2,8,30,42,6,6,11,55,2,1,17,0,,274,180,180
1998,Středočeský kraj,Kladno,Olovnice,,2,12,73,38,7,13,14,93,0,1,21,1,,343,275,278
1998,Středočeský kraj,Kladno,Otvovice,,1,20,134,80,9,18,13,126,0,4,19,1,,541,425,426
1998,Středočeský kraj,Kladno,Páleč,,1,7,19,15,0,10,3,33,1,1,4,0,,133,94,96
1998,Středočeský kraj,Kladno,Pavlov,,1,3,19,13,2,3,7,12,0,0,5,0,,76,65,65
1998,Středočeský kraj,Kladno,Pchery,,6,33,196,238,11,52,64,388,1,8,46,2,,1353,1045,1049
1998,Středočeský kraj,Kladno,Pletený Újezd,,3,12,64,36,10,17,11,81,0,3,16,0,,326,253,254
1998,Středočeský kraj,Kladno,Plchov,,4,8,29,13,3,8,14,33,0,2,4,0,,144,118,118
1998,Středočeský kraj,Kladno,Podlešín,,0,5,30,44,1,9,20,60,0,1,12,0,,259,182,182
1998,Středočeský kraj,Kladno,Poštovice,,1,7,23,22,2,3,11,49,0,1,4,0,,156,123,123
1998,Středočeský kraj,Kladno,Pozdeň,,5,16,37,37,2,23,16,113,2,2,11,1,,322,265,266
1998,Středočeský kraj,Kladno,Přelíc,,0,4,55,21,2,7,12,70,0,1,5,0,,245,177,177
1998,Středočeský kraj,Kladno,Řisuty,,4,4,60,28,2,12,17,44,1,3,9,2,,227,186,186
1998,Středočeský kraj,Kladno,Sazená,,1,3,51,24,1,9,8,37,2,0,8,0,,193,144,144
1998,Středočeský kraj,Kladno,Slaný,,58,350,2537,1215,85,721,419,2986,39,96,263,34,,12193,8803,8832
1998,Středočeský kraj,Kladno,Slatina,,3,8,39,81,1,13,10,92,1,4,15,1,,325,268,268
1998,Středočeský kraj,Kladno,Smečno,,18,41,231,185,7,49,65,267,6,15,27,1,,1286,912,921
1998,Středočeský kraj,Kladno,Stehelčeves,,4,11,61,75,0,13,25,89,0,2,13,0,,386,293,295
1998,Středočeský kraj,Kladno,Stochov,,34,121,660,387,49,142,144,1097,12,33,101,5,,4030,2785,2807
1998,Středočeský kraj,Kladno,Stradonice,,1,4,5,16,1,2,11,24,0,0,3,0,,83,67,67
1998,Středočeský kraj,Kladno,Studeněves,,5,10,59,40,7,10,7,49,0,1,9,0,,245,197,200
1998,Středočeský kraj,Kladno,Svárov,,4,6,32,11,3,11,3,26,2,5,7,1,,157,111,112
1998,Středočeský kraj,Kladno,Svinařov,,5,8,95,89,7,27,21,152,0,0,14,0,,497,418,419
1998,Středočeský kraj,Kladno,Šlapanice,,0,15,19,30,3,3,13,35,0,0,2,0,,148,120,120
1998,Středočeský kraj,Kladno,Třebichovice,,4,9,62,65,4,22,23,96,0,6,5,0,,380,296,296
1998,Středočeský kraj,Kladno,Třebíz,,1,12,29,25,0,3,2,31,0,7,6,1,,140,117,117
1998,Středočeský kraj,Kladno,Třebusice,,3,6,53,85,3,6,26,98,0,0,6,0,,322,286,288
1998,Středočeský kraj,Kladno,Tuchlovice,,15,60,410,236,7,104,53,387,5,19,35,2,,1680,1333,1343
1998,Středočeský kraj,Kladno,Tuřany,,6,9,56,54,5,18,13,110,1,1,11,1,,355,285,289
1998,Středočeský kraj,Kladno,Uhy,,2,15,47,37,6,12,9,61,0,3,10,0,,266,202,203
1998,Středočeský kraj,Kladno,Unhošť,,29,143,738,247,26,179,100,586,13,37,74,11,,2891,2183,2203
1998,Středočeský kraj,Kladno,Velká Dobrá,,2,30,206,82,7,46,38,206,0,5,23,0,,826,645,658
1998,Středočeský kraj,Kladno,Velké Přítočno,,6,6,123,76,6,38,24,157,2,4,6,1,,590,449,449
1998,Středočeský kraj,Kladno,Velvary,,9,87,520,200,20,157,75,579,3,17,50,5,,2306,1722,1728
1998,Středočeský kraj,Kladno,Vinařice,,41,39,302,275,18,109,190,538,4,25,46,4,,2107,1591,1599
1998,Středočeský kraj,Kladno,Vraný,,4,46,68,52,2,27,32,135,2,0,9,0,,478,377,380
1998,Středočeský kraj,Kladno,Vrbičany,,0,0,18,37,0,3,3,36,0,1,7,0,,139,105,105
1998,Středočeský kraj,Kladno,Zájezd,,2,1,18,4,1,9,3,11,0,1,2,0,,72,52,56
1998,Středočeský kraj,Kladno,Zákolany,,4,13,68,49,3,15,19,116,0,7,19,0,,401,313,313
1998,Středočeský kraj,Kladno,Zichovec,,0,7,22,4,0,9,2,10,0,1,3,0,,58,58,58
1998,Středočeský kraj,Kladno,Zlonice,,6,50,264,253,16,79,72,336,2,6,46,3,,1587,1133,1137
1998,Středočeský kraj,Kladno,Zvoleněves,,3,13,118,87,6,23,28,168,2,8,36,0,,632,492,493
1998,Středočeský kraj,Kladno,Želenice,,0,2,22,12,1,3,2,39,0,3,5,1,,131,90,92
1998,Středočeský kraj,Kladno,Žilina,,2,18,88,127,2,26,28,136,5,1,6,1,,529,440,440
1998,Středočeský kraj,Kladno,Žižice,,1,10,80,52,1,13,12,129,1,5,8,0,,384,312,313
1998,Středočeský kraj,Kolín,Barchovice,,1,11,42,11,2,7,4,50,2,0,5,1,,171,136,136
1998,Středočeský kraj,Kolín,Bečváry,,10,44,141,51,2,47,24,248,1,5,24,0,,767,597,600
1998,Středočeský kraj,Kolín,Bělušice,,1,7,31,14,0,4,4,74,0,2,3,1,,185,141,141
1998,Středočeský kraj,Kolín,Břežany I,,3,6,50,23,1,26,6,65,0,2,4,0,,230,186,189
1998,Středočeský kraj,Kolín,Břežany II,,3,23,81,33,1,21,12,89,8,2,12,1,,368,286,286
1998,Středočeský kraj,Kolín,Býchory,,4,16,99,46,3,21,16,97,1,0,15,0,,390,318,319
1998,Středočeský kraj,Kolín,Cerhenice,,16,47,202,132,3,43,54,314,2,9,28,7,,1123,857,863
1998,Středočeský kraj,Kolín,Církvice,,2,4,19,24,0,5,7,37,0,3,3,3,,131,107,108
1998,Středočeský kraj,Kolín,Černé Voděrady,,0,15,54,27,1,12,8,53,2,2,16,0,,230,190,190
1998,Středočeský kraj,Kolín,Červené Pečky,,12,54,265,136,10,77,42,334,8,12,42,3,,1263,995,1004
1998,Středočeský kraj,Kolín,Český Brod,,38,212,1344,331,25,282,153,1091,21,60,205,8,,5521,3770,3785
1998,Středočeský kraj,Kolín,Dobřichov,,8,24,120,94,4,29,25,150,4,6,17,0,,597,481,484
1998,Středočeský kraj,Kolín,Dolní Chvatliny,,8,12,47,50,3,5,11,118,4,0,6,3,,328,267,269
1998,Středočeský kraj,Kolín,Dománovice,,1,8,19,13,1,11,6,22,1,6,2,0,,106,90,90
1998,Středočeský kraj,Kolín,Doubravčice,,1,7,38,14,1,9,10,42,0,3,1,0,,161,126,126
1998,Středočeský kraj,Kolín,Drahobudice,,2,13,13,22,1,6,6,57,0,2,5,0,,160,127,127
1998,Středočeský kraj,Kolín,Grunta,,3,9,15,4,0,4,4,21,0,0,3,0,,71,63,65
1998,Středočeský kraj,Kolín,Horní Kruty,,6,29,56,41,0,24,6,83,0,5,20,0,,380,270,273
1998,Středočeský kraj,Kolín,Hradešín,,2,8,33,15,1,8,4,30,7,0,3,0,,147,111,111
1998,Středočeský kraj,Kolín,Chotutice,,1,7,89,57,4,19,11,83,0,5,14,5,,365,295,297
1998,Středočeský kraj,Kolín,Chrášťany,,5,31,81,52,4,20,16,101,0,1,9,0,,387,320,321
1998,Středočeský kraj,Kolín,Jestřabí Lhota,,1,16,57,32,1,9,11,72,1,4,9,0,,265,213,213
1998,Středočeský kraj,Kolín,Jevany,,1,17,132,33,2,28,6,73,1,2,11,1,,388,307,308
1998,Středočeský kraj,Kolín,Kbel,,2,10,30,25,1,5,6,50,0,2,15,1,,172,147,147
1998,Středočeský kraj,Kolín,Klášterní Skalice,,1,9,14,10,1,11,4,26,0,1,5,0,,91,82,82
1998,Středočeský kraj,Kolín,Klučov,,6,33,93,66,3,33,19,151,1,10,24,1,,616,440,444
1998,Středočeský kraj,Kolín,Kolín,,348,985,6007,2015,171,1568,585,6300,62,204,533,45,,24825,18823,18892
1998,Středočeský kraj,Kolín,Konárovice,,14,11,98,73,8,32,22,166,1,1,11,4,,582,441,444
1998,Středočeský kraj,Kolín,Konojedy,,5,4,40,6,1,3,3,29,0,0,3,1,,115,95,95
1998,Středočeský kraj,Kolín,Kořenice,,9,26,73,63,2,24,17,128,0,6,28,0,,477,376,379
1998,Středočeský kraj,Kolín,Kostelec nad Č.Lesy,,11,86,655,202,15,155,77,628,3,45,67,5,,2656,1949,1953
1998,Středočeský kraj,Kolín,Kouřim,,16,70,319,127,9,94,40,319,4,23,83,2,,1413,1106,1110
1998,Středočeský kraj,Kolín,Kozojedy,,11,16,123,33,3,26,15,80,0,4,9,0,,414,320,321
1998,Středočeský kraj,Kolín,Krakovany,,3,49,110,63,4,15,43,177,0,3,23,2,,606,492,495
1998,Středočeský kraj,Kolín,Krupá,,3,11,36,35,10,25,7,72,0,2,2,0,,268,203,203
1998,Středočeský kraj,Kolín,Krychnov,,4,11,17,6,0,4,3,24,0,1,3,0,,76,73,74
1998,Středočeský kraj,Kolín,Křečhoř,,3,10,50,59,4,10,13,85,0,2,5,0,,319,241,241
1998,Středočeský kraj,Kolín,Kšely,,2,6,21,22,1,7,7,31,0,1,10,0,,168,108,108
1998,Středočeský kraj,Kolín,Libenice,,1,5,35,30,3,8,9,52,0,1,8,2,,206,154,154
1998,Středočeský kraj,Kolín,Libodřice,,2,8,45,21,0,4,11,64,0,1,7,0,,198,163,163
1998,Středočeský kraj,Kolín,Lipec,,4,16,34,18,0,7,9,33,0,0,11,0,,159,132,133
1998,Středočeský kraj,Kolín,Lošany,,6,13,51,32,3,5,2,42,0,1,4,0,,220,159,161
1998,Středočeský kraj,Kolín,Malotice,,1,9,50,28,4,7,27,65,0,0,4,0,,225,195,195
1998,Středočeský kraj,Kolín,Masojedy,,0,1,20,3,1,0,2,8,4,2,1,1,,56,43,44
1998,Středočeský kraj,Kolín,Mrzky,,3,3,25,15,0,5,1,19,0,0,2,1,,96,74,75
1998,Středočeský kraj,Kolín,Nebovidy,,8,18,72,57,5,23,16,128,1,3,8,1,,383,340,340
1998,Středočeský kraj,Kolín,Němčice,,5,21,30,31,4,7,2,69,0,1,6,0,,228,176,177
1998,Středočeský kraj,Kolín,Nová Ves I,,18,51,137,74,6,45,28,226,2,2,25,5,,811,619,624
1998,Středočeský kraj,Kolín,Nučice,,5,10,64,10,2,10,8,72,0,6,15,0,,252,202,202
1998,Středočeský kraj,Kolín,Ohaře,,1,29,43,21,0,6,6,52,3,4,7,0,,206,172,173
1998,Středočeský kraj,Kolín,Oleška,,8,26,131,79,3,35,22,212,2,4,20,1,,678,543,549
1998,Středočeský kraj,Kolín,Oplany,,0,5,20,7,2,5,1,14,0,2,4,0,,64,60,60
1998,Středočeský kraj,Kolín,Ovčáry,,5,33,84,51,2,20,16,167,2,6,10,0,,509,396,398
1998,Středočeský kraj,Kolín,Pašinka,,4,9,50,41,1,14,6,51,1,3,14,0,,246,194,194
1998,Středočeský kraj,Kolín,Pečky,,31,170,685,417,32,184,122,833,10,34,59,2,,3397,2579,2590
1998,Středočeský kraj,Kolín,Plaňany,,20,34,171,160,7,29,58,290,4,14,45,6,,1087,838,843
1998,Středočeský kraj,Kolín,Polepy,,5,30,87,32,5,25,18,139,1,6,4,3,,434,355,355
1998,Středočeský kraj,Kolín,Polní Chrčice,,1,13,35,11,0,2,10,38,0,0,2,0,,128,112,112
1998,Středočeský kraj,Kolín,Polní Voděrady,,5,7,37,7,0,5,2,21,1,0,1,0,,96,86,86
1998,Středočeský kraj,Kolín,Poříčany,,9,56,255,93,4,65,17,225,4,16,24,0,,966,768,768
1998,Středočeský kraj,Kolín,Prusice,,1,0,21,4,0,1,6,11,0,0,0,0,,51,44,44
1998,Středočeský kraj,Kolín,Přehvozdí,,1,2,27,9,0,4,2,27,3,2,4,1,,130,82,84
1998,Středočeský kraj,Kolín,Přistoupim,,8,22,53,23,0,16,22,98,2,2,14,0,,322,260,260
1998,Středočeský kraj,Kolín,Přišimasy,,8,30,62,12,4,26,2,73,5,1,15,0,,322,238,242
1998,Středočeský kraj,Kolín,Radim,,12,29,98,152,7,35,34,168,1,2,22,0,,695,560,561
1998,Středočeský kraj,Kolín,Radovesnice I,,6,7,69,25,1,10,11,53,0,2,5,1,,243,190,190
1998,Středočeský kraj,Kolín,Radovesnice II,,2,32,48,20,2,14,15,93,0,5,18,0,,331,249,250
1998,Středočeský kraj,Kolín,Ratboř,,5,18,124,54,4,20,11,118,1,3,11,4,,436,373,373
1998,Středočeský kraj,Kolín,Ratenice,,6,10,73,37,4,17,15,101,1,10,8,0,,347,282,284
1998,Středočeský kraj,Kolín,Rostoklaty,,5,16,64,30,2,18,19,59,0,5,14,0,,309,232,235
1998,Středočeský kraj,Kolín,Skvrňov,,3,8,36,16,0,14,8,48,0,1,4,0,,160,138,139
1998,Středočeský kraj,Kolín,Starý Kolín,,14,53,291,85,8,53,42,334,0,13,29,1,,1295,923,934
1998,Středočeský kraj,Kolín,Stříbrná Skalice,,8,61,231,74,6,54,9,178,1,7,14,3,,795,646,655
1998,Středočeský kraj,Kolín,Svojšice,,10,20,78,67,4,8,10,89,0,1,16,1,,398,304,306
1998,Středočeský kraj,Kolín,Štíhlice,,0,7,12,17,0,3,5,25,2,1,4,0,,88,76,76
1998,Středočeský kraj,Kolín,Tismice,,2,21,40,13,0,20,14,67,1,1,24,0,,288,203,204
1998,Středočeský kraj,Kolín,Toušice,,3,6,26,31,3,10,18,62,0,2,9,0,,210,170,175
1998,Středočeský kraj,Kolín,Třebovle,,3,14,55,55,1,13,14,74,0,1,10,0,,298,240,242
1998,Středočeský kraj,Kolín,Tři Dvory,,50,20,141,91,1,33,26,198,3,5,15,1,,713,584,587
1998,Středočeský kraj,Kolín,Tuchoraz,,9,5,51,19,1,11,6,65,0,9,14,2,,261,192,196
1998,Středočeský kraj,Kolín,Tuklaty,,6,13,118,41,2,21,17,118,0,3,22,0,,510,361,362
1998,Středočeský kraj,Kolín,Týnec nad Labem,,17,74,339,120,11,91,56,375,3,10,82,0,,1461,1178,1181
1998,Středočeský kraj,Kolín,Uhlířská Lhota,,3,31,44,26,2,17,8,108,1,1,7,0,,292,248,251
1998,Středočeský kraj,Kolín,Veletov,,1,8,34,17,1,12,10,54,0,0,0,0,,167,137,138
1998,Středočeský kraj,Kolín,Velim,,18,128,263,126,20,123,36,373,3,27,50,5,,1501,1172,1182
1998,Středočeský kraj,Kolín,Velký Osek,,25,75,375,134,21,117,47,439,9,14,43,1,,1674,1300,1314
