year,region,county,town,,Nezávislí,kdúčsl,ods,ksčm,sz,Unie svobody,Sdruž.pro rep.-Republ.str.Čsl.,čssd,Občanská koalice-Politic.klub,Demokratická unie,Důchodci za životní jistoty,Česká strana národně sociální,Moravská demokratická strana,voters,votes_ok,votes_all
1998,Severomoravský kraj,Olomouc,Město Libavá,0,12,13,52,100,11,25,28,263,0,5,27,0,6,986,542,544
1998,Severomoravský kraj,Olomouc,Mladeč,0,13,69,60,70,5,25,9,177,0,2,19,1,4,634,454,456
1998,Severomoravský kraj,Olomouc,Mladějovice,0,11,43,44,30,8,23,18,142,1,3,6,1,8,485,338,338
1998,Severomoravský kraj,Olomouc,Mrsklesy,0,2,19,37,53,4,18,10,121,0,1,9,1,0,412,275,276
1998,Severomoravský kraj,Olomouc,Mutkov,0,0,0,4,2,0,1,1,9,0,0,0,0,0,26,17,17
1998,Severomoravský kraj,Olomouc,Náklo,0,20,130,143,138,10,43,35,304,1,11,31,2,7,1081,875,878
1998,Severomoravský kraj,Olomouc,Náměšť na Hané,0,17,150,224,125,20,79,43,442,5,11,37,3,5,1450,1161,1164
1998,Severomoravský kraj,Olomouc,Nová Hradečná,0,9,48,104,62,2,24,11,156,1,5,11,0,6,565,439,439
1998,Severomoravský kraj,Olomouc,Olbramice,0,0,24,16,16,1,14,17,52,0,0,4,3,0,178,147,147
1998,Severomoravský kraj,Olomouc,Olomouc,0,509,4550,18051,5786,962,5894,2166,19768,133,909,1326,136,297,81777,60487,60729
1998,Severomoravský kraj,Olomouc,Paseka,0,16,96,114,73,12,36,29,235,0,2,22,0,12,966,647,652
1998,Severomoravský kraj,Olomouc,Pňovice,0,6,71,85,65,9,12,11,191,0,3,13,1,10,624,477,478
1998,Severomoravský kraj,Olomouc,Přáslavice,0,13,67,179,104,9,32,39,260,0,12,13,3,8,1049,739,744
1998,Severomoravský kraj,Olomouc,Příkazy,0,12,58,152,92,14,45,29,257,0,5,9,0,10,910,683,693
1998,Severomoravský kraj,Olomouc,Řídeč,0,3,6,27,9,2,5,3,36,0,0,2,3,9,139,105,106
1998,Severomoravský kraj,Olomouc,Samotíšky,0,9,62,169,57,13,61,14,176,1,6,22,0,3,759,593,593
1998,Severomoravský kraj,Olomouc,Savín,0,4,31,7,11,2,4,8,31,0,0,6,0,0,117,104,104
1998,Severomoravský kraj,Olomouc,Senice na Hané,0,19,160,214,164,16,51,47,380,1,15,43,4,10,1360,1124,1135
1998,Severomoravský kraj,Olomouc,Senička,0,4,57,20,22,8,7,14,89,0,3,5,0,0,262,229,232
1998,Severomoravský kraj,Olomouc,Skrbeň,0,14,84,85,73,13,20,34,232,0,6,21,1,1,792,584,589
1998,Severomoravský kraj,Olomouc,Slatinice,0,12,69,214,144,20,35,63,390,0,13,26,0,12,1206,998,1001
1998,Severomoravský kraj,Olomouc,Slavětín,0,2,30,19,28,0,1,8,40,0,1,3,0,0,157,132,132
1998,Severomoravský kraj,Olomouc,Strukov,0,1,43,13,2,0,6,2,40,0,0,2,0,1,132,110,110
1998,Severomoravský kraj,Olomouc,Střeň,0,4,47,46,79,9,15,23,148,1,3,9,3,8,442,395,396
1998,Severomoravský kraj,Olomouc,Suchonice,0,2,27,13,10,0,15,5,25,1,1,4,0,1,130,104,104
1998,Severomoravský kraj,Olomouc,Svésedlice,0,4,25,13,9,0,7,5,36,1,1,1,0,2,135,104,104
1998,Severomoravský kraj,Olomouc,Štarnov,0,2,42,95,24,6,42,11,101,0,5,14,1,4,458,347,348
1998,Severomoravský kraj,Olomouc,Štěpánov,0,37,225,392,223,31,128,92,661,7,23,58,4,21,2576,1902,1914
1998,Severomoravský kraj,Olomouc,Šternberk,0,152,650,2108,810,93,537,278,3018,22,80,211,19,83,10994,8061,8088
