year,region,county,town,voters,votes_ok,votes_all
1996,Středočeský kraj,Benešov,Louňovice p.Blaníkem,541,458,459
1996,Středočeský kraj,Benešov,Lštění,241,205,207
1996,Středočeský kraj,Benešov,Maršovice,542,482,484
1996,Středočeský kraj,Benešov,Mezno,307,247,257
1996,Středočeský kraj,Benešov,Miličín,711,587,592
1996,Středočeský kraj,Benešov,Miřetice,97,94,94
1996,Středočeský kraj,Benešov,Mnichovice,185,157,157
1996,Středočeský kraj,Benešov,Mrač,482,391,394
1996,Středočeský kraj,Benešov,Načeradec,840,675,682
1996,Středočeský kraj,Benešov,Nemíž,32,30,30
1996,Středočeský kraj,Benešov,Nespeky,332,278,278
1996,Středočeský kraj,Benešov,Netvořice,821,603,608
1996,Středočeský kraj,Benešov,Neustupov,425,336,337
1996,Středočeský kraj,Benešov,Neveklov,1729,1398,1406
1996,Středočeský kraj,Benešov,Olbramovice,852,697,700
1996,Středočeský kraj,Benešov,Ostrov,46,43,43
1996,Středočeský kraj,Benešov,Ostředek,287,244,245
1996,Středočeský kraj,Benešov,Pavlovice,127,102,102
1996,Středočeský kraj,Benešov,Petroupim,218,190,193
1996,Středočeský kraj,Benešov,Popovice,212,177,178
1996,Středočeský kraj,Benešov,Poříčí nad Sázavou,724,551,557
1996,Středočeský kraj,Benešov,Postupice,852,674,678
1996,Středočeský kraj,Benešov,Pravonín,453,352,354
1996,Středočeský kraj,Benešov,Přestavlky u Čerčan,182,150,151
1996,Středočeský kraj,Benešov,Psáře,107,92,93
1996,Středočeský kraj,Benešov,Pyšely,872,712,719
1996,Středočeský kraj,Benešov,Rabyně,155,142,143
1996,Středočeský kraj,Benešov,Radošovice,243,215,216
1996,Středočeský kraj,Benešov,Rataje,151,132,132
1996,Středočeský kraj,Benešov,Ratměřice,185,164,164
1996,Středočeský kraj,Benešov,Římovice,131,119,119
1996,Středočeský kraj,Benešov,Sedlec-Prčice,2364,2018,2032
1996,Středočeský kraj,Benešov,Slověnice,42,38,38
1996,Středočeský kraj,Benešov,Smilkov,216,166,166
1996,Středočeský kraj,Benešov,Snět,99,97,97
1996,Středočeský kraj,Benešov,Soběhrdy,226,204,205
1996,Středočeský kraj,Benešov,Soutice,224,179,179
1996,Středočeský kraj,Benešov,Stranný,85,76,76
1996,Středočeský kraj,Benešov,Strojetice,107,93,95
1996,Středočeský kraj,Benešov,Struhařov,504,415,416
1996,Středočeský kraj,Benešov,Střezimíř,278,251,256
1996,Středočeský kraj,Benešov,Studený,90,78,79
1996,Středočeský kraj,Benešov,Šetějovice,49,48,48
1996,Středočeský kraj,Benešov,Tehov,212,153,153
1996,Středočeský kraj,Benešov,Teplýšovice,304,262,267
1996,Středočeský kraj,Benešov,Tichonice,174,161,162
1996,Středočeský kraj,Benešov,Tisem,140,118,118
1996,Středočeský kraj,Benešov,Tomice,100,92,92
1996,Středočeský kraj,Benešov,Trhový Štěpánov,973,738,746
1996,Středočeský kraj,Benešov,Třebešice,62,60,61
1996,Středočeský kraj,Benešov,Týnec nad Sázavou,4045,3159,3176
1996,Středočeský kraj,Benešov,Václavice,345,302,306
1996,Středočeský kraj,Benešov,Veliš,266,206,207
1996,Středočeský kraj,Benešov,Vlašim,9673,7402,7439
1996,Středočeský kraj,Benešov,Vodslivy,57,47,48
1996,Středočeský kraj,Benešov,Vojkov,394,281,281
1996,Středočeský kraj,Benešov,Votice,3403,2682,2706
1996,Středočeský kraj,Benešov,Vracovice,275,255,255
1996,Středočeský kraj,Benešov,Vranov,230,187,189
1996,Středočeský kraj,Benešov,Vrchotovy Janovice,641,510,514
1996,Středočeský kraj,Benešov,Všechlapy,65,59,59
1996,Středočeský kraj,Benešov,Vysoký Újezd,146,133,136
1996,Středočeský kraj,Benešov,Xaverov,37,35,36
1996,Středočeský kraj,Benešov,Zdislavice,345,344,345
1996,Středočeský kraj,Benešov,Zvěstov,335,283,284
1996,Středočeský kraj,Beroun,Bavoryně,138,107,107
1996,Středočeský kraj,Beroun,Beroun,14210,9992,10045
1996,Středočeský kraj,Beroun,Běštín,230,205,207
1996,Středočeský kraj,Beroun,Broumy,594,509,514
1996,Středočeský kraj,Beroun,Březová,181,158,158
1996,Středočeský kraj,Beroun,Bubovice,159,139,141
1996,Středočeský kraj,Beroun,Bykoš,158,130,130
1996,Středočeský kraj,Beroun,Bzová,351,303,307
1996,Středočeský kraj,Beroun,Cerhovice,651,647,651
1996,Středočeský kraj,Beroun,Drozdov,504,447,447
1996,Středočeský kraj,Beroun,Felbabka,188,160,162
1996,Středočeský kraj,Beroun,Hlásná Třebaň,381,305,312
