year,region,county,town,Nezávislí,kdúčsl,Strana demokratické levice,čssd,ods,Českomoravská unie středu,ksčm,Levý blok,Občanská demokratická aliance,Mor.nár.str.-Hn.slezskom.sjed.,Sdruž.pro rep.-Republ.str.Čsl.,Hn.samosp.M.aSl.-Mor.nár.sjed.,Svobodní demokraté-LSNS,Demokratická unie,Důchodci za životní jistoty,Česká pravice,voters,votes_ok,votes_all
1996,Východočeský kraj,Jičín,Tetín,0,32,0,27,14,0,5,1,8,,9,,2,0,4,0,116,102,103
1996,Východočeský kraj,Jičín,Třebnouševes,5,31,0,52,43,0,10,3,11,,18,,0,5,2,0,216,180,180
1996,Východočeský kraj,Jičín,Třtěnice,0,19,0,47,94,0,23,0,15,,22,,1,4,4,0,273,229,233
1996,Východočeský kraj,Jičín,Tuř,0,6,0,15,25,1,22,0,2,,3,,0,3,8,0,98,85,85
1996,Východočeský kraj,Jičín,Úbislavice,3,21,0,107,65,0,7,0,10,,16,,1,3,8,1,281,242,242
1996,Východočeský kraj,Jičín,Údrnice,2,22,1,32,31,0,15,1,3,,41,,3,12,17,0,234,180,180
1996,Východočeský kraj,Jičín,Úhlejov,1,8,0,18,19,0,4,1,0,,14,,1,0,6,0,82,72,72
1996,Východočeský kraj,Jičín,Újezd pod Troskami,0,25,0,45,41,0,11,2,15,,23,,6,7,14,0,227,189,190
1996,Východočeský kraj,Jičín,Úlibice,0,14,0,41,48,0,11,1,4,,8,,1,22,3,0,188,153,153
1996,Východočeský kraj,Jičín,Valdice,22,53,2,419,342,12,212,26,68,,231,,53,69,49,14,2083,1572,1583
1996,Východočeský kraj,Jičín,Veliš,2,8,0,17,32,3,4,0,7,,15,,1,0,7,0,105,96,96
1996,Východočeský kraj,Jičín,Vidochov,2,34,0,47,42,2,21,0,17,,27,,10,14,12,0,261,228,230
1996,Východočeský kraj,Jičín,Vitiněves,1,27,1,44,50,0,35,3,16,,14,,2,3,6,0,225,202,202
1996,Východočeský kraj,Jičín,Volanice,4,2,0,23,49,1,38,1,5,,15,,2,3,8,0,184,151,154
1996,Východočeský kraj,Jičín,Vrbice,0,15,0,16,27,0,17,0,0,,10,,3,7,1,0,109,96,96
1996,Východočeský kraj,Jičín,Vršce,0,16,1,37,20,0,18,3,2,,6,,2,1,9,0,148,115,115
1996,Východočeský kraj,Jičín,Vřesník,1,22,0,7,10,0,2,1,7,,10,,3,1,5,0,73,69,69
1996,Východočeský kraj,Jičín,Vysoké Veselí,8,27,1,138,145,1,83,4,26,,68,,10,3,12,0,644,526,528
1996,Východočeský kraj,Jičín,Zámostí-Blata,0,3,0,22,22,0,3,1,4,,2,,1,1,4,0,70,63,63
1996,Východočeský kraj,Jičín,Zelenecká Lhota,0,12,0,37,11,1,15,0,1,,25,,2,1,2,0,129,107,107
1996,Východočeský kraj,Jičín,Železnice,4,58,0,192,198,2,59,17,44,,57,,26,18,29,0,864,704,705
1996,Východočeský kraj,Jičín,Žeretice,1,6,1,51,56,2,18,0,2,,13,,10,2,5,0,225,167,169
1996,Východočeský kraj,Jičín,Židovice,2,4,0,27,21,0,6,2,3,,5,,1,0,12,0,105,83,84
1996,Východočeský kraj,Jičín,Žlunice,0,18,1,52,34,0,22,6,8,,9,,6,4,11,0,198,171,172
1996,Východočeský kraj,Náchod,Adršpach,3,13,0,66,78,3,39,5,18,,48,,5,15,22,0,426,315,318
1996,Východočeský kraj,Náchod,Bezděkov nad Metují,4,61,0,48,94,2,11,0,29,,6,,6,22,6,0,384,289,289
1996,Východočeský kraj,Náchod,Bohuslavice,5,95,0,113,173,0,64,7,34,,28,,17,10,22,0,731,568,572
1996,Východočeský kraj,Náchod,Borová,0,54,0,26,23,0,5,0,9,,7,,4,6,4,0,150,138,139
1996,Východočeský kraj,Náchod,Božanov,1,14,0,52,50,0,11,0,3,,7,,0,0,9,0,199,147,148
1996,Východočeský kraj,Náchod,Broumov,38,349,5,1420,1166,6,329,54,263,,382,,93,151,239,1,6265,4496,4529
1996,Východočeský kraj,Náchod,Brzice,1,24,0,30,43,0,18,0,6,,6,,2,1,10,0,163,141,141
1996,Východočeský kraj,Náchod,Bukovice,1,45,1,49,98,1,7,6,21,,9,,8,10,10,0,301,266,266
1996,Východočeský kraj,Náchod,Černčice,0,94,0,46,79,1,10,4,21,,10,,5,6,11,0,327,287,289
1996,Východočeský kraj,Náchod,Červená Hora,2,34,0,33,35,1,3,2,13,,6,,1,1,5,0,141,136,136
1996,Východočeský kraj,Náchod,Červený Kostelec,22,981,6,1057,1841,13,266,83,396,,264,,90,220,129,2,6545,5370,5387
1996,Východočeský kraj,Náchod,Česká Čermná,1,71,1,49,84,0,16,0,23,,4,,5,21,4,0,318,279,279
1996,Východočeský kraj,Náchod,Česká Metuje,2,19,0,78,51,0,28,6,7,,11,,3,3,3,0,259,211,214
1996,Východočeský kraj,Náchod,Česká Skalice,12,382,3,587,1135,6,245,27,237,,198,,103,124,84,5,4038,3148,3177
1996,Východočeský kraj,Náchod,Dolany,0,33,0,61,119,5,47,5,20,,26,,32,5,7,0,474,360,368
1996,Východočeský kraj,Náchod,Dolní Radechová,5,79,0,96,145,1,24,6,26,,26,,11,20,10,1,522,450,453
1996,Východočeský kraj,Náchod,Hejtmánkovice,4,31,0,87,108,0,38,3,19,,23,,11,20,20,0,438,364,365
1996,Východočeský kraj,Náchod,Heřmanice,3,15,0,39,47,0,38,1,9,,22,,6,15,8,0,281,203,205
